"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",2.97679308332395,2.40115736148452,3.55242880516339,0.113872113786052,23,0.421142752432214,0.620036209800128,0.603516045008829,31.6232152686197,32.7660724114769,35.2798427432243,2.99970870182472e-06,0.421142752432214,0.10548566087393,0.115370344108736,0.379262280989195,0.379262280989195,0.169006832060879
"CPUE + ISTI20_MJJ",2.9119095480377,2.5133096773501,3.3105094187253,0.0796906369562502,22,0.290971497999355,0.826508063963119,0.810736069777948,14.0245942911379,16.0245942911379,18.9000975906107,4.28619798586956e-09,0.290971497999355,0.0688718120125677,0.0794995192392256,0.254754478908528,0.254754478908528,0.125998146440179
"CPUE + Chatham_SST_May",2.92605278197457,2.51033270798666,3.34177285596249,0.0827803850051775,22,0.303559985037438,0.81117154528017,0.794005322123822,16.1422901856505,18.1422901856505,21.0177934851233,1.08828296223031e-08,0.303559985037438,0.0681734579590994,0.0784125846066656,0.252890250510537,0.252890250510537,0.126469838278271
"CPUE + Chatham_SST_MJJ",2.78673758792691,2.31183689573461,3.26163828011921,0.107065157025541,22,0.343120445255729,0.758747630683059,0.736815597108791,22.267405317152,24.267405317152,27.1429086166248,1.61134100563909e-07,0.343120445255729,0.0867378414267233,0.0997311905497557,0.317045789046452,0.317045789046452,0.158188075782878
"CPUE + Chatham_SST_AMJ",2.9429177072313,2.52636133953667,3.35947407492593,0.082586246821956,22,0.304268772393879,0.81028871829651,0.793042238141648,16.2588999493447,18.2588999493447,21.1344032488175,1.14557819829443e-08,0.304268772393879,0.072819222479303,0.0826670484924167,0.269279992438885,0.269279992438885,0.125967840617999
"CPUE + Chatham_SST_AMJJ",2.83843577172152,2.3945041430864,3.28236740035663,0.0934384189019903,22,0.322743349845958,0.78655155349889,0.767147149271517,19.2061996660991,21.2061996660991,24.0817029655719,4.19008643079783e-08,0.322743349845958,0.0800393361880421,0.0911545634717531,0.294888696960697,0.294888696960697,0.140525335245807
"CPUE + Icy_Strait_SST_May",2.92501132991592,2.49148578898752,3.35853687084432,0.0864205922573399,22,0.316535751259276,0.794683462801223,0.77601832305588,18.2351380918849,20.2351380918849,23.1106413913577,2.73314857537487e-08,0.316535751259276,0.0659379708214495,0.0765371414486566,0.24454641659894,0.24454641659894,0.133913270104656
"CPUE + Icy_Strait_SST_MJJ",2.8303421280474,2.34827761123597,3.31240664485883,0.104063949543265,22,0.349703378858445,0.749401740327651,0.726620080357437,23.2175937326685,25.2175937326685,28.0930970321413,2.44770207998887e-07,0.349703378858445,0.0880211520628535,0.101313805057889,0.321477749381545,0.321477749381545,0.159268953447402
"CPUE + Icy_Strait_SST_AMJ",2.95118333644343,2.50495291445577,3.39741375843108,0.0883657391419883,22,0.325971962528793,0.782259664401388,0.762465088437878,19.7038970811397,21.7038970811397,24.5794003806125,5.21588211759461e-08,0.325971962528793,0.0752501382794075,0.0862781043194372,0.275755875091208,0.275755875091208,0.139858850915574
"CPUE + Icy_Strait_SST_AMJJ",2.87540653399649,2.41248425184122,3.33832881615177,0.0951514392903102,22,0.337202669260416,0.76699759636841,0.74581555967463,21.397535526006,23.397535526006,26.2730388254788,1.0989157885492e-07,0.337202669260416,0.0838478105121116,0.0956346097684516,0.30772403203908,0.30772403203908,0.146539125496799
"CPUE + NSEAK_SST_May",2.88703652559913,2.45845419356508,3.31561885763318,0.0868822040911855,22,0.312527838561709,0.799849900486049,0.781654436893872,17.5980058536915,19.5980058536915,22.4735091531643,2.06497079640723e-08,0.312527838561709,0.0677786492759831,0.0781316217716837,0.249323162523386,0.249323162523386,0.130606325684571
"CPUE + NSEAK_SST_MJJ",2.69673347996805,2.22079667230145,3.17267028763464,0.119667771496483,22,0.339762517511348,0.763446528685643,0.741941667657065,21.7756732060329,23.7756732060329,26.6511765055057,1.29784425958733e-07,0.339762517511348,0.0852339461113953,0.0979508184689732,0.311035074438741,0.311035074438741,0.154429281168832
"CPUE + NSEAK_SST_AMJ",2.86330793523449,2.43279804964531,3.29381782082368,0.0885951483957595,22,0.31356286602363,0.798521993907433,0.780205811535382,17.7633219009078,19.7633219009078,22.6388252003806,2.22077258124455e-08,0.31356286602363,0.0717941557490348,0.0815394510561758,0.263390486478509,0.263390486478509,0.129220587022311
"CPUE + NSEAK_SST_AMJJ",2.75685560860723,2.3026911834503,3.21102003376417,0.104229860078892,22,0.327558588118215,0.780134861051461,0.760147121147049,19.9466751280272,21.9466751280272,24.8221784275,5.80390266670936e-08,0.327558588118215,0.0803015331441383,0.0914541986085244,0.294574256986033,0.294574256986033,0.140946113995018
"CPUE + SEAK_SST_May",2.89460241556843,2.44840033775607,3.34080449338079,0.0902844475538835,22,0.325423497032421,0.78299176781563,0.76326374670796,19.6196985166685,21.6196985166685,24.4952018161413,5.02618303379667e-08,0.325423497032421,0.0745650316653625,0.0855199201171408,0.271297061642128,0.271297061642128,0.143325235644725
