"","MAPE10"
"CPUE",0.593520397882877
"CPUE + ISTI20_MJJ",0.35365052324853
"CPUE + Chatham_SST_May",0.255933380217092
"CPUE + Chatham_SST_MJJ",0.374125694991982
"CPUE + Chatham_SST_AMJ",0.288152056077216
"CPUE + Chatham_SST_AMJJ",0.317971959611874
"CPUE + Icy_Strait_SST_May",0.251816691168362
"CPUE + Icy_Strait_SST_MJJ",0.372280233863654
"CPUE + Icy_Strait_SST_AMJ",0.301429956710218
"CPUE + Icy_Strait_SST_AMJJ",0.333807096481978
"CPUE + NSEAK_SST_May",0.241847591807669
"CPUE + NSEAK_SST_MJJ",0.325797132735791
"CPUE + NSEAK_SST_AMJ",0.289670444670715
"CPUE + NSEAK_SST_AMJJ",0.292206933669312
"CPUE + SEAK_SST_May",0.288379101362558
"CPUE + SEAK_SST_MJJ",0.351223148179107
"CPUE + SEAK_SST_AMJ",0.311516191929551
"CPUE + SEAK_SST_AMJJ",0.315180297202269
