"JYear","Year","Harvest","odd_even_factor","vessel","adj_raw_pink_log","CPUE"
1997,1998,42.4,"even","Cobb",5.33,2.48
1998,1999,77.8,"odd","Cobb",7.14,5.62
1999,2000,20.2,"even","Cobb",5.05,1.6
2000,2001,67,"odd","Cobb",6.39,3.73
2001,2002,45.3,"even","Cobb",5.5,2.87
2002,2003,52.5,"odd","Cobb",6.11,2.78
2003,2004,45.3,"even","Cobb",5.32,3.08
2004,2005,59.1,"odd","Cobb",6.8,3.9
2005,2006,11.6,"even","Cobb",5.06,2.04
2006,2007,44.8,"odd","Cobb",6.14,2.57
2007,2008,15.9,"even","Cobb",3.85,1.17
2008,2009,38,"odd",NA,NA,2.32
2009,2010,24.1,"even",NA,NA,2.33
2010,2011,58.9,"odd","NW Explorer",9.43,4.11
2011,2012,21.3,"even","NW Explorer",5.71,1.45
2012,2013,94.7,"odd","NW Explorer",8.52,3.52
2013,2014,37.2,"even","NW Explorer",6.8,2.14
2014,2015,35.1,"odd","NW Explorer",7.67,3.82
2015,2016,18.4,"even","NW Explorer",6.72,2.45
2016,2017,34.7,"odd","NW Explorer",7.94,4.35
2017,2018,8.1,"even","NW Explorer",3.56,0.35
2018,2019,21.1,"odd","Medeia",3.93,1.17
2019,2020,8.1,"even","Medeia",5.32,1.14
2020,2021,48.5,"odd","Medeia",4.41,2.15
2021,2022,18.3,"even","Medeia",4.46,0.87
2022,2023,47.8,"odd","Medeia",4.33,1.45
2023,2024,20.1,"even","Medeia",3.4,1.19
2024,2025,20.1,"odd","Medeia",3.85,1.66
2025,2026,NA,"even","Medeia",5.02,1.29
