"","inv_var"
"CPUE",2.13796232982231
"CPUE + ISTI20_MJJ",4.63011103329888
"CPUE + Chatham_SST_May",3.45238360606423
"CPUE + Chatham_SST_MJJ",3.67653446028519
"CPUE + Chatham_SST_AMJ",4.64960367583894
"CPUE + Chatham_SST_AMJJ",4.58899998045267
"CPUE + Icy_Strait_SST_May",3.22392548419581
"CPUE + Icy_Strait_SST_MJJ",3.42702307274983
"CPUE + Icy_Strait_SST_AMJ",3.53828783514271
"CPUE + Icy_Strait_SST_AMJJ",3.89452017576238
"CPUE + NSEAK_SST_May",3.06074697106325
"CPUE + NSEAK_SST_MJJ",3.58482126296653
"CPUE + NSEAK_SST_AMJ",3.99217833699542
"CPUE + NSEAK_SST_AMJJ",4.06065701733725
"CPUE + SEAK_SST_May",2.86668315807737
"CPUE + SEAK_SST_MJJ",3.43878728912018
"CPUE + SEAK_SST_AMJ",3.81652387550818
"CPUE + SEAK_SST_AMJJ",3.80938898231165
