"","MAPE"
"CPUE",0.211866411123369
"CPUE + ISTI20_MJJ",0.125658226231756
"CPUE + Chatham_SST_May",0.116154931308831
"CPUE + Chatham_SST_MJJ",0.136969435552496
"CPUE + Chatham_SST_AMJ",0.103405235486266
"CPUE + Chatham_SST_AMJJ",0.106531785804567
"CPUE + Icy_Strait_SST_May",0.107337549908142
"CPUE + Icy_Strait_SST_MJJ",0.139424219729828
"CPUE + Icy_Strait_SST_AMJ",0.111850650470183
"CPUE + Icy_Strait_SST_AMJJ",0.118759032426365
"CPUE + NSEAK_SST_May",0.11681335632954
"CPUE + NSEAK_SST_MJJ",0.117367642253873
"CPUE + NSEAK_SST_AMJ",0.107793313202889
"CPUE + NSEAK_SST_AMJJ",0.0961434316383309
"CPUE + SEAK_SST_May",0.130563861825629
"CPUE + SEAK_SST_MJJ",0.126526914752952
"CPUE + SEAK_SST_AMJ",0.111144024787301
"CPUE + SEAK_SST_AMJJ",0.104846191351203
