"terms","fit","se.fit","fit_LPI","fit_UPI","sigma","df","model","AdjR2","weight","stdev","fit_bias_corrected","weight_pred","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE",2.71349877539705,0.155156700350652,2.50850004218627,2.91849750860782,0.429,22,"m1",0.595,0.0555555555555556,0.7277494325669,2.71349877539705,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + ISTI20_MJJ",2.70180025900687,0.10674608553136,2.5605551330492,2.84304538496454,0.295,21,"m2",0.808,0.0555555555555556,0.489172017087688,2.70180025900687,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Chatham_SST_May",2.75118310570592,0.112055852961928,2.60291215987108,2.89945405154076,0.309,21,"m3",0.79,0.0555555555555556,0.513504428260877,2.75118310570592,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Chatham_SST_MJJ",2.53121969937837,0.133466683767723,2.35461820185192,2.70782119690481,0.342,21,"m4",0.742,0.0555555555555556,0.611621181120324,2.53121969937837,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Chatham_SST_AMJ",2.65193890172046,0.111708584367011,2.50412745747939,2.79975034596153,0.307,21,"m5",0.793,0.0555555555555556,0.511913043638189,2.65193890172046,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Chatham_SST_AMJJ",2.54088465449615,0.123163440825217,2.37791628309271,2.70385302589959,0.321,21,"m6",0.772,0.0555555555555556,0.564405790432771,2.54088465449615,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Icy_Strait_SST_May",2.7155142441757,0.116134033740692,2.56184709898697,2.86918138936443,0.321,21,"m7",0.773,0.0555555555555556,0.532193000377277,2.7155142441757,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Icy_Strait_SST_MJJ",2.5595786046086,0.134622147960423,2.38144821087368,2.73770899834351,0.351,21,"m8",0.729,0.0555555555555556,0.616916183246183,2.5595786046086,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Icy_Strait_SST_AMJ",2.6115196118678,0.121362415071312,2.45093433590245,2.77210488783315,0.328,21,"m9",0.763,0.0555555555555556,0.556152453586937,2.6115196118678,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + Icy_Strait_SST_AMJJ",2.55473008670661,0.129057086796725,2.38396331442082,2.7254968589924,0.338,21,"m10",0.749,0.0555555555555556,0.591413869216478,2.55473008670661,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + NSEAK_SST_May",2.73860568321101,0.115028801337664,2.58640096813577,2.89081039828625,0.317,21,"m11",0.778,0.0555555555555556,0.527128189229883,2.73860568321101,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + NSEAK_SST_MJJ",2.5199833209339,0.132801473620747,2.3442620214075,2.69570462046029,0.339,21,"m12",0.747,0.0555555555555556,0.608572805268754,2.5199833209339,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + NSEAK_SST_AMJ",2.61423000672491,0.115836171755717,2.46095698890278,2.76750302454704,0.314,21,"m13",0.782,0.0555555555555556,0.530828025284479,2.61423000672491,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + NSEAK_SST_AMJJ",2.52552240066895,0.126447264505675,2.35820891359161,2.69283588774628,0.326,21,"m14",0.766,0.0555555555555556,0.579454161017359,2.52552240066895,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + SEAK_SST_May",2.70041088186626,0.119595694012175,2.54216330978286,2.85865845394966,0.33,21,"m15",0.759,0.0555555555555556,0.548056320601569,2.70041088186626,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + SEAK_SST_MJJ",2.51043911216352,0.138336926703172,2.32739336824211,2.69348485608493,0.348,21,"m16",0.734,0.0555555555555556,0.633939438024843,2.51043911216352,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + SEAK_SST_AMJ",2.57916720525731,0.121562653325118,2.41831697646263,2.74001743405198,0.324,21,"m17",0.769,0.0555555555555556,0.557070060542028,2.57916720525731,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
"CPUE + SEAK_SST_AMJJ",2.50967673766624,0.132893750299915,2.33383333875693,2.68552013657556,0.337,21,"m18",0.75,0.0555555555555556,0.608995670135921,2.50967673766624,2.61277240508642,0.922291610327324,1.43223914386745,3.7933056663054,13.6368052406304,4.18806638392428,44.4029392381876
