"model","terms","fit","fit_LPI","fit_UPI"
"m1","CPUE",16.513,9.041,30.161
"m2","CPUE + ISTI20_MJJ",15.579,10.297,23.571
"m3","CPUE + Chatham_SST_May",16.401,10.619,25.33
"m4","CPUE + Chatham_SST_MJJ",13.305,8.184,21.63
"m5","CPUE + Chatham_SST_AMJ",14.843,9.639,22.858
"m6","CPUE + Chatham_SST_AMJJ",13.342,8.462,21.036
"m7","CPUE + Icy_Strait_SST_May",15.886,10.116,24.946
"m8","CPUE + Icy_Strait_SST_MJJ",13.73,8.353,22.57
"m9","CPUE + Icy_Strait_SST_AMJ",14.35,9.034,22.795
"m10","CPUE + Icy_Strait_SST_AMJJ",13.599,8.432,21.932
"m11","CPUE + NSEAK_SST_May",16.238,10.389,25.382
"m12","CPUE + NSEAK_SST_MJJ",13.139,8.123,21.255
"m13","CPUE + NSEAK_SST_AMJ",14.326,9.199,22.312
"m14","CPUE + NSEAK_SST_AMJJ",13.161,8.287,20.9
"m15","CPUE + SEAK_SST_May",15.696,9.861,24.983
"m16","CPUE + SEAK_SST_MJJ",13.055,7.959,21.413
" m17","CPUE + SEAK_SST_AMJ",13.877,8.779,21.936
"m18","CPUE + SEAK_SST_AMJJ",12.997,8.053,20.976
