"model","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV","MAPE_one_step_ahead","inv_var"
"m1",0.594,32.56,0.389,0.191,0.118,0.214,2.14492265690632
"m2",0.809,16.28,0.255,0.117,0.079,0.133,4.67843210243888
"m3",0.79,18.6,0.257,0.123,0.079,0.122,3.46748960115063
"m4",0.742,23.52,0.313,0.138,0.097,0.151,3.70013156592692
"m5",0.793,18.25,0.269,0.106,0.082,0.113,4.67845920245097
"m6",0.772,20.5,0.288,0.114,0.087,0.122,4.6209605313109
"m7",0.773,20.42,0.245,0.125,0.076,0.123,3.23714501330107
"m8",0.729,24.7,0.321,0.138,0.099,0.148,3.44779574057311
"m9",0.763,21.5,0.271,0.12,0.083,0.131,3.55722863281043
"m10",0.749,22.85,0.303,0.12,0.092,0.13,3.91949318353739
"m11",0.778,19.91,0.252,0.126,0.079,0.118,3.07353066038527
"m12",0.747,22.99,0.305,0.132,0.094,0.136,3.6079473613497
"m13",0.782,19.42,0.261,0.106,0.08,0.109,4.01487714156114
"m14",0.766,21.18,0.287,0.113,0.087,0.112,4.08717612266031
"m15",0.759,21.83,0.273,0.137,0.085,0.13,2.87967720757169
"m16",0.734,24.26,0.314,0.139,0.097,0.146,3.46111989940534
" m17",0.768,20.9,0.277,0.116,0.085,0.115,3.83905779520755
"m18",0.75,22.72,0.3,0.123,0.092,0.123,3.83437187705314
