"model","AdjR2","AICc","MAPE","MEAPE","MASE"
"CPUE",0.639,29,0.11,0.088,0.375
"CPUE+ISTI",0.812,16,0.079,0.06,0.261
"CPUE+ISTI_log",0.805,17,0.081,0.062,0.269
