"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",3.3150990702549,2.75957994110456,3.87061819940523,0.0882150099167801,21,0.410461469470523,0.655762949298353,0.639370708788751,28.217053649913,29.4802115446498,31.6235362977004,0.109873928671622,0.0880235557641331
"CPUE+ISTI",3.40315881197392,3.00075858909832,3.80555903484953,0.0665939364027268,20,0.296227073614373,0.829245161589041,0.812169677747945,14.0917148569241,16.3139370791463,18.6336917206407,0.0788055080084317,0.0600796977795977
"CPUE+ISTI_log",3.39425903559414,2.9848385872359,3.80367948395238,0.0673034526812225,20,0.301496333106777,0.823116390910846,0.80542803000193,14.9027663002364,17.1249885224586,19.444743163953,0.0814972950587073,0.0617052784824664
