"year","SEAKCatch_log","resid","hat_values","Cooks_distance","std_resid","fitted"
1998,3.75,0.416,0.048,0.035,1.44,3.333
1999,4.354,-0.495,0.344,0.743,-2.063,4.849
2000,3.011,-0.215,0.098,0.021,-0.764,3.225
2001,4.205,-0.028,0.119,0,-0.102,4.233
2002,3.813,0.162,0.048,0.005,0.561,3.651
2003,3.961,-0.06,0.166,0.003,-0.221,4.021
2004,3.813,0.214,0.058,0.011,0.744,3.6
2005,4.079,0.014,0.102,0,0.049,4.066
2006,2.451,-0.186,0.242,0.056,-0.722,2.637
2007,3.802,0.177,0.059,0.008,0.616,3.625
2008,2.766,-0.042,0.104,0.001,-0.148,2.808
2009,3.638,-0.371,0.235,0.21,-1.431,4.008
2010,3.178,0.107,0.066,0.003,0.374,3.071
2011,4.076,0.19,0.088,0.015,0.673,3.885
2012,3.059,0.042,0.105,0.001,0.149,3.017
2013,4.551,0.604,0.082,0.135,2.129,3.947
2014,3.616,0.378,0.06,0.037,1.317,3.238
2015,3.558,-0.343,0.069,0.035,-1.2,3.901
2016,2.912,-0.081,0.096,0.003,-0.289,2.994
2017,3.547,-0.003,0.257,0,-0.01,3.549
2018,2.092,-0.466,0.214,0.286,-1.774,2.557
2019,3.049,0.226,0.104,0.025,0.808,2.823
2020,2.075,-0.241,0.239,0.091,-0.934,2.317
