Year_Juv,SEAKCatch,NSEICatch,CPUEcal,CPUEcal_loc,CPUEcal_loc1,ISTI,ERSSTMAMJJ,MAMJJA,Temp,July24Size,Condition,MEI_win,PDO_sum,PDO_win
1997,42.448749,12.846432,2.4775,2.4775,2.46053678,9.48,8.352,9.461666667,8.916,133.67,0.026,-0.210833333,0.24,2.63
1998,77.818105,36.31777,5.6225,5.6225,5.496397527,9.57,8.318,9.101666667,8.944,132.09,-0.002,2.589333333,1.24,0.05
1999,20.248977,5.315004,1.5975,1.5975,1.917268009,8.97,6.922,7.841666667,7.946,115.27,-0.033,-0.994833333,-0.45,-0.97
2000,67.023653,13.008041,3.731,3.609166667,3.418485261,9.04,7.59,8.465,8.315,126.57,-0.016,-0.995166667,-1.24,-0.76
2001,45.315401,18.989224,2.869375,2.869375,2.92343298,9.44,7.64,8.538333333,8.54,116.97,0,-0.499,0.27,-0.85
2002,52.466735,21.297303,2.784736842,2.743011364,3.47257823,8.56,7.45,8.405,8.005,113.19,-0.05,0.005833333,-0.6,-0.02
2003,45.309744,22.125523,3.0775,3.0775,2.96011954,9.78,8.474,9.343333333,9.127,120.87,-0.022,0.943,1.79,0.84
2004,59.121487,25.236181,3.900833333,3.7875,3.854388017,9.66,8.508,9.588333333,9.084,128.74,0.01,0.328333333,0.47,0.44
2005,11.6065,5.7957,2.0405,2.00625,2.040345363,10.26,9.14,10.08166667,9.7,130.2,0.025,0.721,0.36,0.69
2006,44.796398,8.746171,2.5785,2.349166667,2.578823922,8.88,7.814,8.556666667,8.347,118.9,-0.011,-0.476333333,0.09,0.25
2007,15.908924,0.432582,1.167142857,1.115729167,1.188176743,9.31,7.102,8.13,8.206,124.7,-0.028,0.655833333,-0.08,0.46
2008,38.024357,10.229169,2.486071429,2.3825,2.528019307,8.29,7.042,7.92,7.666,108.79,-0.015,-1.185666667,-0.83,-1.57
2009,24.034377,6.542958,2.087142857,2.04375,2.105793649,9.61,7.466,8.328333333,8.538,123.06,0.007,-0.574166667,-1.33,-0.25
2010,58.865454,40.55751,3.674,3.52125,3.67346748,9.62,7.824,8.648333333,8.722,124.55,-0.016,1.204166667,0.35,-0.85
2011,21.2711,1.11082,1.349642857,1.398854167,1.330099931,8.9,7.924,8.71,8.412,115.33,-0.023,-1.539,-0.89,-1.43
2012,94.714171,30.088905,3.148214286,2.94375,3.230505693,8.73,6.86,7.783333333,7.795,119.32,0.014,-0.634166667,-1.48,-1.44
2013,37.172752,0.949841,1.914285714,1.783333333,1.966549213,9.16,7.898,8.918333333,8.529,129.58,0.002,0.0585,-0.45,-1.02
2014,35.092568,16.082707,3.399565217,3.418690476,3.320929808,9.37,8.936,9.906666667,9.153,127.52,-0.019,-0.082,0.23,0.73
2015,18.378575,0.462364,2.192857143,2.128645833,2.218688891,9.86,9.408,10.21333333,9.634,153.24,0.041,0.625,2.2,1.65
2016,34.127522,16.579982,3.89047619,3.886778846,3.936138478,10.56,9.426,10.3,9.993,145.13,0.029,2.143833333,1.51,1.27
2017,7.3,0.6,0.309375,0.580416667,0.471996012,8.93,8.158,9.118333333,8.544,120.6908622,0.018,0.043666667,0.33,1.05
2018,,,1.233765062,1.233765062,1.318544876,9.2,8.3636,9.283266667,8.7818,108.55,-0.065,-0.5235,0.155767219,
