Model,5-year MAPE,10-year MAPE,AdjR2
m1,51%,64%,0.54
m2,32%,39%,0.72
m3,38%,28%,0.68
m4,44%,42%,0.72
m5,38%,31%,0.64
m6,41%,36%,0.69
m7,40%,27%,0.66
m8,44%,42%,0.70
m9,41%,32%,0.64
m10,41%,37%,0.74
m11,39%,27%,0.80
m12,43%,37%,0.70
m13,39%,31%,0.66
m14,41%,32%,0.70
m15,41%,31%,0.63
m16,45%,40%,0.68
m17,41%,34%,0.64
m18,43%,35%,0.68
m19,28%,43%,0.62
