JYear,Year,SEAKCatch,ISTI3_May,ISTI10_May,ISTI15_May,ISTI20_May,ISTI3_MJJ,ISTI10_MJJ,ISTI15_MJJ,ISTI20_MJJ,Chatham_SST_MJJ,Chatham_SST_May,Chatham_SST_AMJJ,Chatham_SST_AMJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,Icy_Strait_SST_AMJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,NSEAK_SST_AMJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,SEAK_SST_AMJ,CPUEcal,index,weight_values
1997,1998,42.5,8.33,7.97,7.6,7.23,10.83,10.28,9.77,9.26,10.08,7.48,8.83,7.59,10.3,7.01,8.83,7.3,10.02,7.35,8.71,7.4,10.47,8,9.2,7.99,2.477744394,pink_cal_pool,0.001
1998,1999,77.8,7.78,7.64,7.5,7.38,10.82,10.31,9.84,9.44,9.85,7.83,8.91,7.88,9.97,7.34,8.85,7.56,9.89,7.65,8.85,7.71,10.36,8.37,9.38,8.37,5.622379984,pink_cal_pool,0.001
1999,2000,20.3,6.77,6.66,6.52,6.39,9.62,9.33,8.92,8.56,8.9,6.84,8.05,7.12,9.08,6.17,8.02,6.78,8.93,6.7,7.98,6.95,9.3,7.23,8.4,7.43,1.597723341,pink_cal_pool,0.001
2000,2001,67,7,6.82,6.61,6.47,10.4,9.78,9.21,8.76,9.7,7.34,8.62,7.52,9.94,7.02,8.67,7.35,9.7,7.23,8.57,7.39,10.02,7.71,8.95,7.86,3.729984668,pink_cal_pool,0.001
2001,2002,45.3,7.28,7.1,6.94,6.78,10.43,9.89,9.43,9.03,9.15,6.74,8.18,7.12,9.57,6.48,8.4,7.08,9.22,6.66,8.17,7.01,9.51,7.1,8.52,7.45,2.868826043,pink_cal_pool,0.001
2002,2003,52.5,6.88,6.73,6.56,6.39,9.5,9.02,8.57,8.2,8.97,6.39,7.85,6.64,9.34,6.26,8.02,6.6,9.05,6.39,7.88,6.61,9.44,6.92,8.33,7.14,2.784664064,pink_cal_pool,0.001
2003,2004,45.3,7.86,7.76,7.59,7.42,10.62,10.12,9.7,9.35,9.92,7.71,8.9,7.85,10.08,7.29,8.88,7.53,9.86,7.57,8.76,7.6,10.32,8.17,9.25,8.16,3.077820362,pink_cal_pool,0.001
2004,2005,59.1,8.11,7.86,7.61,7.38,11.4,10.52,9.8,9.27,10.43,7.94,9.22,7.96,10.68,7.53,9.25,7.69,10.38,7.89,9.09,7.79,10.98,8.58,9.74,8.51,3.89940674,pink_cal_pool,0.001
2005,2006,11.6,9.74,9.28,8.72,8.32,11.97,11.32,10.69,10.2,10.67,8.51,9.48,8.44,11.16,8.4,9.64,8.26,10.63,8.42,9.35,8.26,11.06,8.92,9.83,8.82,2.040345363,pink_cal_pool,0.001
2006,2007,44.8,7.28,7.16,6.93,6.77,10.04,9.55,9.11,8.77,9.78,7.16,8.68,7.58,10.19,6.84,8.86,7.49,9.72,6.98,8.55,7.36,10.19,7.63,9.07,7.96,2.572780687,pink_cal_pool,0.001
2007,2008,15.9,8.22,7.7,7.36,7.05,10.99,10.18,9.5,8.95,9.52,7.04,8.41,7.27,9.49,6.55,8.16,6.87,9.44,6.9,8.24,7.03,9.99,7.51,8.82,7.64,1.167638593,pink_cal_pool,0.001
