"Year","fitted_values","year_minus","type","model_name"
1998,28.87,7,"estimate","m2"
1999,111.64,7,"estimate","m2"
2000,27.51,7,"estimate","m2"
2001,64.73,7,"estimate","m2"
2002,38.84,7,"estimate","m2"
2003,55.71,7,"estimate","m2"
2004,37.22,7,"estimate","m2"
2005,53.15,7,"estimate","m2"
2006,15.07,7,"estimate","m2"
2007,38.96,7,"estimate","m2"
2008,18.89,7,"estimate","m2"
2009,52.09,7,"estimate","m2"
2010,25.94,7,"estimate","m2"
2011,57.84,7,"estimate","m2"
2012,25.25,7,"estimate","m2"
2013,67.91,7,"estimate","m2"
2014,30.69,7,"estimate","m2"
2015,56.36,7,"estimate","m2"
