"Year","fitted_values","year_minus","type","model_name"
1998,28.87,9,"estimate","m2"
1999,122.48,9,"estimate","m2"
2000,26.66,9,"estimate","m2"
2001,66.86,9,"estimate","m2"
2002,39.21,9,"estimate","m2"
2003,55.7,9,"estimate","m2"
2004,37.89,9,"estimate","m2"
2005,55.43,9,"estimate","m2"
2006,15,9,"estimate","m2"
2007,38.9,9,"estimate","m2"
2008,18.13,9,"estimate","m2"
2009,51.27,9,"estimate","m2"
2010,25.85,9,"estimate","m2"
2011,60.71,9,"estimate","m2"
2012,24.42,9,"estimate","m2"
2013,69.55,9,"estimate","m2"
