"Year","fitted_values","year_minus","type","model_name"
1998,30.97,7,"estimate","m11"
1999,128.98,7,"estimate","m11"
2000,27.6,7,"estimate","m11"
2001,61.54,7,"estimate","m11"
2002,53.4,7,"estimate","m11"
2003,58.4,7,"estimate","m11"
2004,37.4,7,"estimate","m11"
2005,48.03,7,"estimate","m11"
2006,14.43,7,"estimate","m11"
2007,39.23,7,"estimate","m11"
2008,20.09,7,"estimate","m11"
2009,40.93,7,"estimate","m11"
2010,29.1,7,"estimate","m11"
2011,57.23,7,"estimate","m11"
2012,19.94,7,"estimate","m11"
2013,63.87,7,"estimate","m11"
2014,38.32,7,"estimate","m11"
2015,40.01,7,"estimate","m11"
