"Year","fitted_values","year_minus","type","model_name"
1998,31.73,6,"estimate","m11"
1999,127.48,6,"estimate","m11"
2000,27.48,6,"estimate","m11"
2001,61.15,6,"estimate","m11"
2002,51.8,6,"estimate","m11"
2003,55.71,6,"estimate","m11"
2004,38.49,6,"estimate","m11"
2005,49.8,6,"estimate","m11"
2006,16.05,6,"estimate","m11"
2007,39.12,6,"estimate","m11"
2008,20.44,6,"estimate","m11"
2009,40.05,6,"estimate","m11"
2010,29.85,6,"estimate","m11"
2011,58.56,6,"estimate","m11"
2012,20.66,6,"estimate","m11"
2013,62.49,6,"estimate","m11"
2014,37.48,6,"estimate","m11"
2015,42.33,6,"estimate","m11"
2016,15.73,6,"estimate","m11"
