"Year","fitted_values","year_minus","type","model_name"
1998,31.28,8,"estimate","m11"
1999,131.77,8,"estimate","m11"
2000,27.49,8,"estimate","m11"
2001,62.16,8,"estimate","m11"
2002,53.26,8,"estimate","m11"
2003,57.94,8,"estimate","m11"
2004,37.98,8,"estimate","m11"
2005,49.15,8,"estimate","m11"
2006,14.87,8,"estimate","m11"
2007,39.35,8,"estimate","m11"
2008,20.08,8,"estimate","m11"
2009,40.77,8,"estimate","m11"
2010,29.38,8,"estimate","m11"
2011,58.43,8,"estimate","m11"
2012,20.07,8,"estimate","m11"
2013,64.14,8,"estimate","m11"
2014,38.12,8,"estimate","m11"
