"Year","fitted_values","year_minus","type","model_name"
1998,27.29,3,"estimate","m2"
1999,118.9,3,"estimate","m2"
2000,25.82,3,"estimate","m2"
2001,65.55,3,"estimate","m2"
2002,37.65,3,"estimate","m2"
2003,55.54,3,"estimate","m2"
2004,35.99,3,"estimate","m2"
2005,53.03,3,"estimate","m2"
2006,13.51,3,"estimate","m2"
2007,37.73,3,"estimate","m2"
2008,17.18,3,"estimate","m2"
2009,51.57,3,"estimate","m2"
2010,24.31,3,"estimate","m2"
2011,58.15,3,"estimate","m2"
2012,23.53,3,"estimate","m2"
2013,68.98,3,"estimate","m2"
2014,29.12,3,"estimate","m2"
2015,56.47,3,"estimate","m2"
2016,22.61,3,"estimate","m2"
2017,41.99,3,"estimate","m2"
2018,14.01,3,"estimate","m2"
2019,17.28,3,"estimate","m2"
