"Year","fitted_values","year_minus","type","model_name"
1998,27.84,0,"estimate","m2"
1999,118.91,0,"estimate","m2"
2000,27.17,0,"estimate","m2"
2001,67.72,0,"estimate","m2"
2002,38.69,0,"estimate","m2"
2003,58.88,0,"estimate","m2"
2004,36.56,0,"estimate","m2"
2005,53.61,0,"estimate","m2"
2006,13.34,0,"estimate","m2"
2007,39.23,0,"estimate","m2"
2008,17.86,0,"estimate","m2"
2009,55.38,0,"estimate","m2"
2010,24.74,0,"estimate","m2"
2011,58.68,0,"estimate","m2"
2012,24.68,0,"estimate","m2"
2013,72.12,0,"estimate","m2"
2014,30.24,0,"estimate","m2"
2015,57.56,0,"estimate","m2"
2016,22.78,0,"estimate","m2"
2017,41.01,0,"estimate","m2"
2018,14.82,0,"estimate","m2"
2019,17.97,0,"estimate","m2"
2020,10.18,0,"estimate","m2"
2021,29.45,0,"estimate","m2"
2022,15.93,0,"estimate","m2"
