"Year","fitted_values","year_minus","type","model_name"
1998,31.59,5,"estimate","m11"
1999,125.22,5,"estimate","m11"
2000,27.65,5,"estimate","m11"
2001,60.74,5,"estimate","m11"
2002,51.96,5,"estimate","m11"
2003,56.08,5,"estimate","m11"
2004,38.15,5,"estimate","m11"
2005,49.03,5,"estimate","m11"
2006,15.79,5,"estimate","m11"
2007,39.11,5,"estimate","m11"
2008,20.55,5,"estimate","m11"
2009,40.25,5,"estimate","m11"
2010,29.74,5,"estimate","m11"
2011,57.71,5,"estimate","m11"
2012,20.66,5,"estimate","m11"
2013,62.32,5,"estimate","m11"
2014,37.72,5,"estimate","m11"
2015,41.55,5,"estimate","m11"
2016,15.36,5,"estimate","m11"
2017,38.43,5,"estimate","m11"
