"Year","fitted_values","year_minus","type","model_name"
1998,31.26,4,"estimate","m11"
1999,128.46,4,"estimate","m11"
2000,27.24,4,"estimate","m11"
2001,61.11,4,"estimate","m11"
2002,52.01,4,"estimate","m11"
2003,56.22,4,"estimate","m11"
2004,37.95,4,"estimate","m11"
2005,49.12,4,"estimate","m11"
2006,15.38,4,"estimate","m11"
2007,38.89,4,"estimate","m11"
2008,20.09,4,"estimate","m11"
2009,40.02,4,"estimate","m11"
2010,29.38,4,"estimate","m11"
2011,58.05,4,"estimate","m11"
2012,20.21,4,"estimate","m11"
2013,62.71,4,"estimate","m11"
2014,37.44,4,"estimate","m11"
2015,41.46,4,"estimate","m11"
2016,14.96,4,"estimate","m11"
2017,38.33,4,"estimate","m11"
2018,9.06,4,"estimate","m11"
