"Year","fitted_values","year_minus","type","model_name"
1998,27.62,1,"estimate","m2"
1999,121.46,1,"estimate","m2"
2000,26.74,1,"estimate","m2"
2001,67.99,1,"estimate","m2"
2002,38.53,1,"estimate","m2"
2003,58.61,1,"estimate","m2"
2004,36.47,1,"estimate","m2"
2005,53.89,1,"estimate","m2"
2006,13.18,1,"estimate","m2"
2007,38.96,1,"estimate","m2"
2008,17.51,1,"estimate","m2"
2009,54.9,1,"estimate","m2"
2010,24.51,1,"estimate","m2"
2011,59.1,1,"estimate","m2"
2012,24.27,1,"estimate","m2"
2013,72.27,1,"estimate","m2"
2014,29.91,1,"estimate","m2"
2015,57.82,1,"estimate","m2"
2016,22.59,1,"estimate","m2"
2017,41.39,1,"estimate","m2"
2018,14.43,1,"estimate","m2"
2019,17.62,1,"estimate","m2"
2020,9.98,1,"estimate","m2"
2021,29.14,1,"estimate","m2"
