"terms","fit","se.fit","fit_LPI","fit_UPI","AICc","sigma","df","model","AdjR2","MAPE_one_step_ahead","stdev","var_yhat","fit_bias_corrected","weight","weight_pred","step1","step2","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE + ISTI20_MJJ",2.70182322411776,0.106226080473006,2.2894357532538,3.11421069498173,16.0856653316567,0.293,21,"m2",0.81,0.133,0.498244481954859,0.248247563798466,2.74474772411776,0.0714285714285714,2.67143212849688,0.25362274035971,0.0359721221679209,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Chatham_SST_May",2.74876349796642,0.111536226797165,2.31670021630631,3.18082677962654,18.3091512219313,0.307,21,"m3",0.792,0.122,0.523151275960663,0.27368725753927,2.79588799796642,0.0714285714285714,2.67143212849688,0.289176520984688,0.0384108111498206,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Chatham_SST_AMJ",2.64946836490577,0.111315416116681,2.21991360241746,3.07902312739407,18.0051957801234,0.305,21,"m5",0.795,0.112,0.522115582064984,0.272604681035057,2.69598086490577,0.0714285714285714,2.67143212849688,0.27320732149433,0.0373351698212733,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Chatham_SST_AMJJ",2.53837414382907,0.122764287341551,2.08505771503561,2.99169057262254,20.2931905000771,0.32,21,"m6",0.774,0.122,0.575815548090303,0.331563545422536,2.58957414382907,0.0714285714285714,2.67143212849688,0.338264275076411,0.0415432080868216,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Icy_Strait_SST_May",2.71298992206852,0.11557153516633,2.2642639541581,3.16171588997894,20.1400316561408,0.319,21,"m7",0.775,0.123,0.542078549931142,0.293849154295449,2.76387042206852,0.0714285714285714,2.67143212849688,0.302393992413886,0.0392788300730506,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Icy_Strait_SST_AMJ",2.6088744140727,0.120900107884263,2.14839685841365,3.06935196973174,21.2569886645098,0.326,21,"m9",0.765,0.13,0.5670717713847,0.321570393901382,2.6620124140727,0.0714285714285714,2.67143212849688,0.321659124921215,0.0405107144381818,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + Icy_Strait_SST_AMJJ",2.55207565965724,0.128630121258686,2.07621287162845,3.02793844768602,22.636225019422,0.336,21,"m10",0.751,0.129,0.60332874793974,0.364005578090534,2.60852365965724,0.0714285714285714,2.67143212849688,0.367963053542282,0.0433285416102696,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + NSEAK_SST_May",2.73629163735746,0.114473923133776,2.29230831738027,3.18027495733464,19.6231753310247,0.315,21,"m11",0.78,0.117,0.536930293155479,0.288294139708028,2.78590413735746,0.0714285714285714,2.67143212849688,0.301397980520605,0.0392140892865627,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + NSEAK_SST_MJJ",2.51732189112726,0.13230127850477,2.03850243938143,2.99614134287309,22.7750419301315,0.337,21,"m12",0.749,0.135,0.620548001743562,0.385079822467928,2.57410639112726,0.0714285714285714,2.67143212849688,0.394552121622468,0.044866702895199,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + NSEAK_SST_AMJ",2.61176707953517,0.115378698430513,2.17111716634225,3.05241699272808,19.1622857536932,0.312,21,"m13",0.784,0.108,0.541174065466393,0.292869369133424,2.66043907953517,0.0714285714285714,2.67143212849688,0.292990216258898,0.038663264763044,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + NSEAK_SST_AMJJ",2.52296469435019,0.125982309045474,2.06261582255883,2.98331356614154,20.9570964551158,0.324,21,"m14",0.768,0.112,0.590909407805837,0.349173928233445,2.57545269435019,0.0714285714285714,2.67143212849688,0.358385980012564,0.0427609623140463,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + SEAK_SST_May",2.69801586449768,0.119091146571229,2.23577649708997,3.1602552319054,21.5621392192827,0.328,21,"m15",0.762,0.13,0.558586990733135,0.312019426216299,2.75180786449768,0.0714285714285714,2.67143212849688,0.318479685153969,0.0403100031360253,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + SEAK_SST_AMJ",2.57666684438378,0.121121649885221,2.1210759753328,3.03225771343475,20.6613440909574,0.322,21," m17",0.77,0.114,0.568110895477456,0.322749989560197,2.62850884438378,0.0714285714285714,2.67143212849688,0.324592397879251,0.0406950078344905,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
"CPUE + SEAK_SST_AMJJ",2.50712106108733,0.132446425123429,2.03053396394077,2.98370815823389,22.5077170588593,0.335,21,"m18",0.752,0.123,0.621228799731205,0.385925221615474,2.56323356108733,0.0714285714285714,2.67143212849688,0.397632151604953,0.0450414860697581,0.567930913646464,1.94448055902941,3.39838369796436,14.4606638993804,6.99000001945798,29.9157081300065
