"terms","fit","se.fit","fit_LPI","fit_UPI","AICc","sigma","df","model","AdjR2","MAPE_one_step_ahead","weight1","weight_MAPE","stdev","var_yhat","fit_bias_corrected","weight","weight_pred","step1","step2","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE",2.71124713428056,0.155050966286722,2.11012007929322,3.3123741892679,32.4570233112888,0.428,22,"m1",0.596,0.214,4.67289719626168,0.0333434039008714,0.743598311837959,0.552938449368263,2.80283913428056,0.0333434039008714,2.66388920741656,0.572245531543774,0.02522325545144,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + ISTI20_MJJ",2.70182322411776,0.106226080473006,2.2894357532538,3.11421069498173,16.0856653316567,0.293,21,"m2",0.81,0.133,7.5187969924812,0.053650288983357,0.498244481954859,0.248247563798466,2.74474772411776,0.053650288983357,2.66388920741656,0.254785663521584,0.0270806796145311,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Chatham_SST_May",2.74876349796642,0.111536226797165,2.31670021630631,3.18082677962654,18.3091512219313,0.307,21,"m3",0.792,0.122,8.19672131147541,0.0584876101212007,0.523151275960663,0.27368725753927,2.79588799796642,0.0584876101212007,2.66388920741656,0.291110938245896,0.0315568131166453,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Chatham_SST_MJJ",2.52857954185531,0.133034741904074,2.04456117663017,3.01259790708045,23.3322043048973,0.341,21,"m4",0.743,0.15,6.66666666666667,0.0475699228985766,0.623988250030911,0.389361336176639,2.58672004185531,0.0475699228985766,2.66388920741656,0.395316416290058,0.0299092051994012,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Chatham_SST_AMJ",2.64946836490577,0.111315416116681,2.21991360241746,3.07902312739407,18.0051957801234,0.305,21,"m5",0.795,0.112,8.92857142857143,0.0637097181677365,0.522115582064984,0.272604681035057,2.69598086490577,0.0637097181677365,2.66388920741656,0.273634555515461,0.0333266111518946,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Chatham_SST_AMJJ",2.53837414382907,0.122764287341551,2.08505771503561,2.99169057262254,20.2931905000771,0.32,21,"m6",0.774,0.122,8.19672131147541,0.0584876101212007,0.575815548090303,0.331563545422536,2.58957414382907,0.0584876101212007,2.66388920741656,0.337086274098548,0.0339573984233788,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Icy_Strait_SST_May",2.71298992206852,0.11557153516633,2.2642639541581,3.16171588997894,20.1400316561408,0.319,21,"m7",0.775,0.123,8.13008130081301,0.0580121010958251,0.542078549931142,0.293849154295449,2.76387042206852,0.0580121010958251,2.66388920741656,0.303845397578731,0.0319775308298261,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Icy_Strait_SST_MJJ",2.55687506695481,0.134185590175894,2.06189439807029,3.05185573583934,24.5064614788724,0.349,21,"m8",0.731,0.148,6.75675675675676,0.0482127596945033,0.629386206902221,0.396126997438766,2.61777556695481,0.0482127596945033,2.66388920741656,0.398253465275401,0.030425783655117,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Icy_Strait_SST_AMJ",2.6088744140727,0.120900107884263,2.14839685841365,3.06935196973174,21.2569886645098,0.326,21,"m9",0.765,0.13,7.69230769230769,0.0548883725752807,0.5670717713847,0.321570393901382,2.6620124140727,0.0548883725752807,2.66388920741656,0.321573916254637,0.0311258171331524,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + Icy_Strait_SST_AMJJ",2.55207565965724,0.128630121258686,2.07621287162845,3.02793844768602,22.636225019422,0.336,21,"m10",0.751,0.129,7.75193798449612,0.0553138638355542,0.60332874793974,0.364005578090534,2.60852365965724,0.0553138638355542,2.66388920741656,0.367070921969223,0.0335126667235463,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + NSEAK_SST_May",2.73629163735746,0.114473923133776,2.29230831738027,3.18027495733464,19.6231753310247,0.315,21,"m11",0.78,0.117,8.54700854700855,0.0609870806392007,0.536930293155479,0.288294139708028,2.78590413735746,0.0609870806392007,2.66388920741656,0.303181782836512,0.0335806730267305,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + NSEAK_SST_MJJ",2.51732189112726,0.13230127850477,2.03850243938143,2.99614134287309,22.7750419301315,0.337,21,"m12",0.749,0.135,7.40740740740741,0.0528554698873073,0.620548001743562,0.385079822467928,2.57410639112726,0.0528554698873073,2.66388920741656,0.393140776568766,0.0331408759920803,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + NSEAK_SST_AMJ",2.61176707953517,0.115378698430513,2.17111716634225,3.05241699272808,19.1622857536932,0.312,21,"m13",0.784,0.108,9.25925925925926,0.0660693373591341,0.541174065466393,0.292869369133424,2.66043907953517,0.0660693373591341,2.66388920741656,0.292881272515822,0.0357557385072674,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + NSEAK_SST_AMJJ",2.52296469435019,0.125982309045474,2.06261582255883,2.98331356614154,20.9570964551158,0.324,21,"m14",0.768,0.112,8.92857142857143,0.0637097181677365,0.590909407805837,0.349173928233445,2.57545269435019,0.0637097181677365,2.66388920741656,0.356994945076783,0.0380659538946168,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + SEAK_SST_May",2.69801586449768,0.119091146571229,2.23577649708997,3.1602552319054,21.5621392192827,0.328,21,"m15",0.762,0.13,7.69230769230769,0.0548883725752807,0.558586990733135,0.312019426216299,2.75180786449768,0.0548883725752807,2.66388920741656,0.319749116479247,0.0310373783830818,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + SEAK_SST_MJJ",2.50780222125507,0.137864719651778,2.01500111097705,3.00060333153309,24.0633483130531,0.346,21,"m16",0.736,0.145,6.89655172413793,0.049210265067493,0.646642853778338,0.418146980342594,2.56766022125507,0.049210265067493,2.66388920741656,0.427406998120261,0.0321718858221891,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + SEAK_SST_AMJ",2.57666684438378,0.121121649885221,2.1210759753328,3.03225771343475,20.6613440909574,0.322,21," m17",0.77,0.114,8.7719298245614,0.0625920038139165,0.568110895477456,0.322749989560197,2.62850884438378,0.0625920038139165,2.66388920741656,0.324001759648528,0.0356280899137991,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
"CPUE + SEAK_SST_AMJJ",2.50712106108733,0.132446425123429,2.03053396394077,2.98370815823389,22.5077170588593,0.335,21,"m18",0.752,0.123,8.13008130081301,0.0580121010958251,0.621228799731205,0.385925221615474,2.56323356108733,0.0580121010958251,2.66388920741656,0.396056780753429,0.036508780095947,0.583985136934645,1.91638823214021,3.4113901826929,14.351998594941,6.79636718645341,30.3073477371483
