"year","Chatham_Strait_SST_MJJ","Chatham_Strait_SST_May"
1997,10.05,7.58
1998,9.86,7.92
1999,8.9,6.99
2000,9.68,7.4
2001,9.1,6.8
2002,8.92,6.41
2003,9.91,7.81
2004,10.42,8.06
2005,10.59,8.54
2006,9.74,7.23
2007,9.55,7.17
2008,8.65,6.86
2009,9.79,7.36
2010,9.66,8.06
2011,9.61,7.46
2012,9.2,7.12
2013,9.66,6.8
2014,9.98,8.27
2015,10.66,9.02
2016,10.97,8.97
2017,9.67,7.77
2018,9.91,7.53
2019,10.5,8.37
2020,9.98,8.19
