"terms","fit","se.fit","fit_LPI","fit_UPI","AICc","sigma","df","model","AdjR2","MAPE_one_step_ahead","min_AICc","delta_AICc","stdev","var_yhat","fit_bias_corrected","weight","weight_pred","step1","step2","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE + ISTI20_MJJ",2.70182322411776,0.106226080473006,2.2894357532538,3.11421069498173,16.0856653316567,0.293,21,"m2",0.81,0.133,16.0856653316567,0,0.498244481954859,0.248247563798466,2.74474772411776,0.2,2.73659196077652,0.248314080274144,0.0996622456648744,0.526840124129846,2.06223660189031,3.41094731966272,15.4342946801793,7.86353776015898,30.2939287049085
"CPUE + Chatham_SST_May",2.74876349796642,0.111536226797165,2.31670021630631,3.18082677962654,18.3091512219313,0.307,21,"m3",0.792,0.122,16.0856653316567,2.2234858902746,0.523151275960663,0.27368725753927,2.79588799796642,0.2,2.73659196077652,0.277203277565696,0.105300195168992,0.526840124129846,2.06223660189031,3.41094731966272,15.4342946801793,7.86353776015898,30.2939287049085
"CPUE + Chatham_SST_AMJ",2.64946836490577,0.111315416116681,2.21991360241746,3.07902312739407,18.0051957801234,0.305,21,"m5",0.795,0.112,16.0856653316567,1.9195304484667,0.522115582064984,0.272604681035057,2.69598086490577,0.2,2.73659196077652,0.274253942142879,0.104738520543853,0.526840124129846,2.06223660189031,3.41094731966272,15.4342946801793,7.86353776015898,30.2939287049085
"CPUE + NSEAK_SST_May",2.73629163735746,0.114473923133776,2.29230831738027,3.18027495733464,19.6231753310247,0.315,21,"m11",0.78,0.117,16.0856653316567,3.537509999368,0.536930293155479,0.288294139708028,2.78590413735746,0.2,2.73659196077652,0.290725830467179,0.10783799524605,0.526840124129846,2.06223660189031,3.41094731966272,15.4342946801793,7.86353776015898,30.2939287049085
"CPUE + NSEAK_SST_AMJ",2.61176707953517,0.115378698430513,2.17111716634225,3.05241699272808,19.1622857536932,0.312,21,"m13",0.784,0.108,16.0856653316567,3.0766204220365,0.541174065466393,0.292869369133424,2.66043907953517,0.2,2.73659196077652,0.298668630454782,0.109301167506076,0.526840124129846,2.06223660189031,3.41094731966272,15.4342946801793,7.86353776015898,30.2939287049085
