"year","Icy_Strait_SST_MJJ","Icy_Strait_SST_May"
1997,10.43,7.17
1998,10.15,7.4
1999,9.3,6.33
2000,10.08,7.1
2001,9.67,6.54
2002,9.44,6.31
2003,10.2,7.42
2004,10.87,7.75
2005,11.3,8.58
2006,10.36,6.9
2007,9.61,6.73
2008,9.01,6.5
2009,10.31,7.46
2010,10.13,7.92
2011,10.08,7.02
2012,9.4,7.01
2013,10.12,6.41
2014,10.45,8.14
2015,10.97,8.54
2016,11.84,8.96
2017,10.03,7.42
2018,10.3,7.09
2019,11.1,8
2020,10.73,8.19
