"year","NSEAK_SST_MJJ","NSEAK_SST_May"
1997,10.02,7.35
1998,9.89,7.65
1999,8.93,6.7
2000,9.7,7.23
2001,9.22,6.66
2002,9.05,6.39
2003,9.86,7.57
2004,10.38,7.89
2005,10.63,8.42
2006,9.72,6.98
2007,9.44,6.9
2008,8.65,6.64
2009,9.77,7.32
2010,9.62,7.76
2011,9.67,7.25
2012,9.14,6.95
2013,9.67,6.59
2014,10.03,8.15
2015,10.81,8.92
2016,11.18,8.92
2017,9.82,7.75
2018,10.11,7.53
2019,10.87,8.42
2020,10.23,8.26
