"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",3.24665517136475,2.73066740648297,3.76264293624654,0.0858552458803478,19,0.379022308157942,0.708730777775148,0.693400818710682,22.7469367325106,24.1587014383929,25.8805040456808,1.71496766986878e-06,0.379022308157942,0.0962672588922426,0.106344563087598,0.378038181055831,0.378038181055831,0.161726619547454
"CPUE + ISTI3_May",3.14277125759733,2.77652785870066,3.509014656494,0.0648735626774771,18,0.267536981434529,0.862516176501142,0.84724019611238,8.98136021660289,11.4813602166029,13.1594499674966,1.75494865355215e-08,0.267536981434529,0.0628296414574488,0.0742165513352648,0.248996285862147,0.248996285862147,0.125932819776228
"CPUE + ISTI10_May",3.12975444347409,2.76647058526342,3.49303830168477,0.0652945594825936,18,0.265144081003128,0.864964539691132,0.849960599656814,8.60401436653879,11.1040143665388,12.7821041174325,1.49289912239856e-08,0.265144081003128,0.0613644135475342,0.0725492733267217,0.24544056061556,0.24544056061556,0.124415155025552
"CPUE + ISTI15_May",3.13183303976759,2.76124198889946,3.50242409063573,0.0666072880926964,18,0.270477416609779,0.859477465040922,0.843863850045469,9.44045390429294,11.9404539042929,13.6185436551866,2.13655354292931e-08,0.270477416609779,0.0621014461451792,0.0733256957694543,0.249040576379648,0.249040576379648,0.121288007358666
"CPUE + ISTI20_May",3.14825190372107,2.77464653089685,3.52185727654529,0.0659042910349053,18,0.272980956480327,0.856864071864957,0.840960079849953,9.82741792429499,12.327417924295,14.0055076751887,2.52195844320805e-08,0.272980956480327,0.0620249416681607,0.0732974793976344,0.248724599767477,0.248724599767477,0.12058444948862
"CPUE + ISTI3_MJJ",3.39571519073254,2.99576813107769,3.79566225038738,0.0767335953856581,18,0.29066573525643,0.837717520994421,0.819686134438245,12.4638374963683,14.9638374963683,16.641927247262,7.80629033593043e-08,0.29066573525643,0.0694582878326156,0.0828262648182753,0.275918489433638,0.275918489433638,0.115493840102475
"CPUE + ISTI10_MJJ",3.36529674817985,2.98416988797309,3.7464236083866,0.0691283754750223,18,0.278011752805105,0.85153972251376,0.8350441361264,10.594394742098,13.094394742098,14.7724844929916,3.50342166735453e-08,0.278011752805105,0.0663131938299118,0.0793320315661483,0.263887074033726,0.263887074033726,0.11482084656402
"CPUE + ISTI15_MJJ",3.33032543008902,2.9611278842568,3.69952297592124,0.0640411160365118,18,0.270020092894111,0.859952254836973,0.844391394263304,9.36938012391852,11.8693801239185,13.5474698748122,2.07245489712859e-08,0.270020092894111,0.0629684796010316,0.0753081074652569,0.251961133362329,0.251961133362329,0.108728613494561
"CPUE + ISTI20_MJJ",3.3039332734236,2.94706551929074,3.66080102755645,0.0604473465851228,18,0.261343266326304,0.868808231774245,0.85423136863805,7.99759147516348,10.4975914751635,12.1756812260572,1.15122250360238e-08,0.261343266326304,0.0592506018884489,0.0706226498940975,0.240388909106891,0.240388909106891,0.0997246639738104
"CPUE + IS3_May",3.12356055937655,2.75974174611546,3.48737937263764,0.0659131840012987,18,0.265405309502284,0.864698326034135,0.849664806704594,8.64537375002884,11.1453737500288,12.8234635009225,1.51959735128321e-08,0.265405309502284,0.0624763512704779,0.0733697980644148,0.245998926082327,0.245998926082327,0.124308290989177
"CPUE + IS3_MJJ",3.39939495055677,2.98348962142005,3.8153002796935,0.0813958351488295,18,0.301836517470638,0.825004242900854,0.805560269889838,14.0477249937252,16.5477249937252,18.2258147446189,1.53903207555522e-07,0.301836517470638,0.0722664166232391,0.0871960408852838,0.284541571448824,0.284541571448824,0.11825326451308
"CPUE + Chatham_Strait_SST_MJJ",3.13185939144362,2.73516067161053,3.52855811127672,0.0720953635122933,18,0.289335104862635,0.83919993673597,0.821333263039967,12.2711254493401,14.7711254493401,16.4492152002338,7.18746822118547e-08,0.289335104862635,0.0702775309619651,0.0826362171358396,0.285613802547526,0.285613802547526,0.094578312852488
"CPUE + Chatham_Strait_SST_May",2.94416325660906,2.64195818632126,3.24636832689687,0.0684435105682781,18,0.216598521066384,0.909885447565649,0.899872719517388,0.110443677973117,2.61044367797312,4.28853342886681,3.91881147056328e-10,0.216598521066384,0.0521678789546473,0.060964042868399,0.212069893218342,0.212069893218342,0.0702641779931561
"CPUE + Chatham_Strait_SST_AMJJ",3.16183504268404,2.78350317056643,3.54016691480166,0.0658359708741479,18,0.276650678927492,0.852989810673319,0.836655345192577,10.388268585611,12.888268585611,14.5663583365047,3.20720656348806e-08,0.276650678927492,0.0663709193014583,0.0772843806822071,0.274114319040921,0.274114319040921,0.0735114813868124
"CPUE + Icy_Strait_SST_MJJ",2.9997112526527,2.60979703299517,3.38962547231024,0.0873489723814323,18,0.279763242390933,0.849663213924123,0.832959126582359,10.8581670697448,13.3581670697448,15.0362568206385,3.9227204029677e-08,0.279763242390933,0.0688469347080821,0.081321465841434,0.279118910381253,0.279118910381253,0.0943310222861405
"CPUE + Icy_Strait_SST_May",2.79453549915298,2.51760392905505,3.07146706925092,0.075380898480894,18,0.194029609599148,0.927686401122496,0.919651556802773,-4.51101508192128,-2.01101508192128,-0.332925331027585,5.4072915064001e-11,0.194029609599148,0.0434964110988706,0.0508296173786065,0.178775647670555,0.178775647670555,0.0611419076466724
"CPUE + Icy_Strait_SST_AMJJ",3.00249633581841,2.62519066629826,3.37980200533855,0.0830174062337168,18,0.271182537271269,0.858743840036403,0.843048711151559,9.5498032637914,12.0498032637914,13.7278930146851,2.2390642835824e-08,0.271182537271269,0.064509750945619,0.0755962504766194,0.264930579470313,0.264930579470313,0.0743643415999799
"CPUE + NSEAK_SST_MJJ",3.05220833306441,2.6632041617017,3.44121250442713,0.0797117268818884,18,0.28132340763631,0.847981761858657,0.831090846509619,11.0917392254327,13.5917392254327,15.2698289763264,4.33572025792965e-08,0.28132340763631,0.0685546891579702,0.0805720599386413,0.279772670161891,0.279772670161891,0.0819819462477018
