"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2","wMAPE"
"CPUE",2.71124713428056,2.11012007929322,3.3123741892679,0.155050966286722,22,0.427737812357825,0.613302883127349,0.59572574145132,31.2570233112888,32.4570233112888,34.7911848023327,6.05680715512923e-06,0.427737812357825,0.106767382879696,0.117482865732623,0.389134016397568,0.389134016397568,0.190319097482103
"CPUE + ISTI20_MJJ",2.70182322411776,2.2894357532538,3.11421069498173,0.106226080473006,21,0.293000452692977,0.826799619074054,0.810304344700155,13.9804021737619,16.0856653316567,18.6926174951537,1.01102722357297e-08,0.293000452692977,0.0675581533377489,0.0786420856686586,0.254754407979404,0.254754407979404,0.116816400372348
"CPUE + Chatham_SST_May",2.74876349796642,2.31670021630631,3.18082677962654,0.111536226797165,21,0.306892270861176,0.809986629469916,0.791890117990861,16.2038880640366,18.3091512219313,20.9161033854284,2.6744451654322e-08,0.306892270861176,0.068214796003845,0.0790719085213625,0.25670012767942,0.25670012767942,0.122264203107685
"CPUE + Chatham_SST_MJJ",2.52857954185531,2.04456117663017,3.01259790708045,0.133034741904074,21,0.340748175427991,0.765750140963667,0.743440630579255,21.2269411470025,23.3322043048973,25.9391564683943,2.40787008564338e-07,0.340748175427991,0.0831900425387597,0.0964446583700736,0.312295977922624,0.312295977922624,0.13703770426133
"CPUE + Chatham_SST_AMJ",2.64946836490577,2.21991360241746,3.07902312739407,0.111315416116681,21,0.304955044822572,0.812377938021908,0.794509170214471,15.8999326222287,18.0051957801234,20.6121479436204,2.34142902695692e-08,0.304955044822572,0.0713197294440151,0.0815241617516053,0.269015889470902,0.269015889470902,0.105497707767393
"CPUE + Chatham_SST_AMJJ",2.53837414382907,2.08505771503561,2.99169057262254,0.122764287341551,21,0.319843216849548,0.793610998650622,0.773954903284015,18.1879273421823,20.2931905000771,22.9001426635741,6.37101710677756e-08,0.319843216849548,0.075817731602099,0.0869312964716744,0.28757452538433,0.28757452538433,0.113291167095763
"CPUE + Icy_Strait_SST_May",2.71298992206852,2.2642639541581,3.16171588997894,0.11557153516633,21,0.318824284628778,0.794923900843159,0.775392843780602,18.0347684982461,20.1400316561408,22.7469838196379,5.95810295345167e-08,0.318824284628778,0.0647616619239596,0.0759072823440682,0.244708396058415,0.244708396058415,0.123967450790757
"CPUE + Icy_Strait_SST_MJJ",2.55687506695481,2.06189439807029,3.05185573583934,0.134185590175894,21,0.349186934278552,0.754003895214579,0.730575694758825,22.4011983209777,24.5064614788724,27.1134136423695,4.0248195938429e-07,0.349186934278552,0.0855367243211649,0.0992874510929632,0.320099487144142,0.320099487144142,0.136885799509785
"CPUE + Icy_Strait_SST_AMJ",2.6088744140727,2.14839685841365,3.06935196973174,0.120900107884263,21,0.326330299409621,0.785154105576272,0.764692591821631,19.151725506615,21.2569886645098,23.8639408280068,9.71256905104209e-08,0.326330299409621,0.0720036475201151,0.0833015734462515,0.270298074797771,0.270298074797771,0.119453283880439
"CPUE + Icy_Strait_SST_AMJJ",2.55207565965724,2.07621287162845,3.02793844768602,0.128630121258686,21,0.3358431204604,0.772445633729854,0.750773789323173,20.5309618615273,22.636225019422,25.243177182919,1.77580108649668e-07,0.3358431204604,0.080284703459316,0.0923015619441832,0.302519380717903,0.302519380717903,0.118955615077336
"CPUE + NSEAK_SST_May",2.73629163735746,2.29230831738027,3.18027495733464,0.114473923133776,21,0.315409652807323,0.799293138022194,0.780178198786212,17.5179121731299,19.6231753310247,22.2301274945217,4.75229420405281e-08,0.315409652807323,0.0673834141212575,0.0783301475841437,0.251719688786707,0.251719688786707,0.125281091586798
"CPUE + NSEAK_SST_MJJ",2.51732189112726,2.03850243938143,2.99614134287309,0.13230127850477,21,0.336815790949584,0.771125636864587,0.749328078470738,20.6697787722368,22.7750419301315,25.3819940936286,1.88699201706333e-07,0.336815790949584,0.0812569348458548,0.0940764071685211,0.304751372199993,0.304751372199993,0.131023817383381
"CPUE + NSEAK_SST_AMJ",2.61176707953517,2.17111716634225,3.05241699272808,0.115378698430513,21,0.312395624828024,0.803110685983546,0.784359322743883,17.0570225957985,19.1622857536932,21.7692379171903,3.88447679515523e-08,0.312395624828024,0.0695661564354165,0.0795653963662899,0.261079709244326,0.261079709244326,0.105502741283216
"CPUE + NSEAK_SST_AMJJ",2.52296469435019,2.06261582255883,2.98331356614154,0.125982309045474,21,0.324297823673856,0.787822011192264,0.767614583686765,18.851833297221,20.9570964551158,23.5640486186128,8.51831016357396e-08,0.324297823673856,0.0756907299788515,0.0867053993267229,0.286005885223757,0.286005885223757,0.112119093824292
"CPUE + SEAK_SST_May",2.69801586449768,2.23577649708997,3.1602552319054,0.119091146571229,21,0.328411488439836,0.782404984621428,0.761681649823469,19.4568760613879,21.5621392192827,24.1690913827797,1.10997678411078e-07,0.328411488439836,0.0736738506172019,0.0852509734135921,0.272567629288336,0.272567629288336,0.135923418886023
"CPUE + SEAK_SST_MJJ",2.50780222125507,2.01500111097705,3.00060333153309,0.137864719651778,21,0.345978239970781,0.758504062012028,0.735504448870317,21.9580851551583,24.0633483130531,26.6703004765501,3.3155319502607e-07,0.345978239970781,0.0841190504457331,0.0972384492226666,0.313904822199068,0.313904822199068,0.138561375503048
"CPUE + SEAK_SST_AMJ",2.57666684438378,2.1210759753328,3.03225771343475,0.121121649885221,21,0.322305803399092,0.79042063941542,0.770460700312126,18.5560809330626,20.6613440909574,23.2682962544544,7.48444093905992e-08,0.322305803399092,0.0739064603911814,0.0844953705247311,0.276051796379118,0.276051796379118,0.115593277768783
"CPUE + SEAK_SST_AMJJ",2.50712106108733,2.03053396394077,2.98370815823389,0.132446425123429,21,0.334945187273863,0.773660816958484,0.752104704287864,20.4024539009646,22.5077170588593,25.1146692223564,1.67871631764521e-07,0.334945187273863,0.0798725995474601,0.0914867235406306,0.299784430381057,0.299784430381057,0.122595165682322
