"model","term","estimate","std.error","statistic","p.value"
"m1s","(Intercept)",2.05645231,0.215,9.581,0
"m1s","CPUE",0.55422659,0.082,6.799,0
"m2s","(Intercept)",4.16994204,0.495,8.428,0
"m2s","CPUE",0.56566847,0.058,9.822,0
"m2s","ISTI3_May",-0.26721634,0.06,-4.487,0
"m3s","(Intercept)",4.46392115,0.549,8.138,0
"m3s","CPUE",0.56239326,0.057,9.858,0
"m3s","ISTI10_May",-0.31498234,0.069,-4.564,0
"m4s","(Intercept)",4.66631345,0.613,7.608,0
"m4s","CPUE",0.55366082,0.058,9.518,0
"m4s","ISTI15_May",-0.35096241,0.08,-4.394,0
"m5s","(Intercept)",4.8165212,0.658,7.321,0
"m5s","CPUE",0.54712137,0.059,9.316,0
"m5s","ISTI20_May",-0.38061763,0.088,-4.316,0
"m6s","(Intercept)",5.72486962,0.984,5.82,0
"m6s","CPUE",0.59234506,0.063,9.355,0
" m6s","ISTI3_MJJ",-0.35479968,0.094,-3.782,0.001
"m7s","(Intercept)",6.13771423,0.993,6.179,0
"m7s","CPUE",0.58453186,0.06,9.705,0
"m7s","ISTI10_MJJ",-0.41608481,0.1,-4.161,0.001
"m8s","(Intercept)",6.37553054,0.992,6.43,0
"m8s","CPUE",0.57279965,0.058,9.838,0
"m8s","ISTI15_MJJ",-0.46219391,0.105,-4.409,0
"m9s","(Intercept)",6.558056,0.972,6.748,0
"m9s","CPUE",0.56681652,0.056,10.074,0
" m9s","ISTI20_MJJ",-0.50296541,0.107,-4.686,0
"m10s","(Intercept)",4.37850314,0.531,8.239,0
"m10s","CPUE",0.55015098,0.057,9.638,0
"m10s","IS3_May",-0.29283571,0.064,-4.555,0
"m11s","(Intercept)",5.44173323,0.994,5.476,0
"m11s","CPUE",0.58337666,0.065,8.912,0
"m11s","IS3_MJJ",-0.32820129,0.095,-3.458,0.003
"m12s","(Intercept)",6.39218813,1.146,5.576,0
"m12s","CPUE",0.5527099,0.062,8.882,0
" m12s","Chatham_Strait_SST_MJJ",-0.44561869,0.117,-3.822,0.001
"m13s","(Intercept)",5.53877016,0.563,9.84,0
"m13s","CPUE",0.57213645,0.047,12.26,0
"m13s","Chatham_Strait_SST_May",-0.46682188,0.074,-6.339,0
"m14s","(Intercept)",6.51398969,1.072,6.076,0
"m14s","CPUE",0.54309031,0.06,9.119,0
"m14s","Chatham_Strait_SST_AMJJ",-0.51171487,0.122,-4.203,0.001
"m15s","(Intercept)",6.36369134,1.06,6.001,0
"m15s","CPUE",0.55667074,0.06,9.252,0
" m15s","Icy_Strait_SST_MJJ",-0.42492374,0.103,-4.108,0.001
"m16s","(Intercept)",5.32303205,0.456,11.675,0
"m16s","CPUE",0.60585972,0.042,14.32,0
"m16s","Icy_Strait_SST_May",-0.46759239,0.063,-7.383,0
"m17s","(Intercept)",6.47059998,1.021,6.336,0
"m17s","CPUE",0.55153303,0.058,9.457,0
"m17s","Icy_Strait_SST_AMJJ",-0.5008097,0.115,-4.372,0
"m18s","(Intercept)",6.34580473,1.068,5.94,0
"m18s","CPUE",0.53204166,0.061,8.758,0
" m18s","NSEAK_SST_MJJ",-0.43364194,0.107,-4.061,0.001
"m19s","(Intercept)",5.38385604,0.522,10.319,0
"m19s","CPUE",0.556914,0.046,12.235,0
"m19s","NSEAK_SST_May",-0.45061864,0.069,-6.553,0
"m20s","(Intercept)",6.4333108,1.036,6.21,0
"m20s","CPUE",0.5271447,0.059,8.883,0
"m20s","NSEAK_SST_AMJJ",-0.50211888,0.117,-4.273,0
"m21s","(Intercept)",6.18069421,1.073,5.76,0
"m21s","CPUE",0.56232558,0.062,9.103,0
" m21s","SST_Jordan_MJJ",-0.41180377,0.106,-3.888,0.001
"m22s","(Intercept)",5.2411303,0.479,10.931,0
"m22s","CPUE",0.61218462,0.045,13.628,0
"m22s","SST_Jordan_May",-0.4623972,0.068,-6.846,0
"m23s","(Intercept)",6.29810482,1.022,6.161,0
"m23s","CPUE",0.55726967,0.06,9.361,0
"m23s","SST_Jordan_AMJJ",-0.48581691,0.116,-4.199,0.001
"m24s","(Intercept)",5.95919646,1.094,5.445,0
"m24s","CPUE",0.52830725,0.064,8.23,0
" m24s","SEAK_SST_MJJ",-0.37429772,0.104,-3.609,0.002
"m25s","(Intercept)",5.36654502,0.634,8.468,0
"m25s","CPUE",0.54983911,0.052,10.565,0
"m25s","SEAK_SST_May",-0.41353657,0.077,-5.35,0
"m26s","(Intercept)",6.09811367,1.076,5.669,0
"m26s","CPUE",0.52490221,0.063,8.353,0
"m26s","SEAK_SST_AMJJ",-0.43578351,0.115,-3.802,0.001
