"terms","fit","se.fit","fit_LPI","fit_UPI","AICc","sigma","df","stdev","var_yhat","fit_bias_corrected","weight","weight_pred","step1","step2","var_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE",2.71124713428056,0.155050966286722,2.11012007929322,3.3123741892679,32.4570233112888,0.428,22,0.743598311837959,0.552938449368263,2.80283913428056,0.0555555555555556,2.66528026462789,0.571860891988382,0.00176500275305056,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + ISTI20_MJJ",2.70182322411776,0.106226080473006,2.2894357532538,3.11421069498173,16.0856653316567,0.293,21,0.498244481954859,0.248247563798466,2.74474772411776,0.0555555555555556,2.66528026462789,0.254562640916239,0.000785687163321727,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Chatham_SST_May",2.74876349796642,0.111536226797165,2.31670021630631,3.18082677962654,18.3091512219313,0.307,21,0.523151275960663,0.27368725753927,2.79588799796642,0.0555555555555556,2.66528026462789,0.290745637547097,0.000897363078849065,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Chatham_SST_MJJ",2.52857954185531,0.133034741904074,2.04456117663017,3.01259790708045,23.3322043048973,0.341,21,0.623988250030911,0.389361336176639,2.58672004185531,0.0555555555555556,2.66528026462789,0.395533044778717,0.00122078100240345,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Chatham_SST_AMJ",2.64946836490577,0.111315416116681,2.21991360241746,3.07902312739407,18.0051957801234,0.305,21,0.522115582064984,0.272604681035057,2.69598086490577,0.0555555555555556,2.66528026462789,0.273547207892478,0.000844281505840983,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Chatham_SST_AMJJ",2.53837414382907,0.122764287341551,2.08505771503561,2.99169057262254,20.2931905000771,0.32,21,0.575815548090303,0.331563545422536,2.58957414382907,0.0555555555555556,2.66528026462789,0.337294962148942,0.00104103383379303,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Icy_Strait_SST_May",2.71298992206852,0.11557153516633,2.2642639541581,3.16171588997894,20.1400316561408,0.319,21,0.542078549931142,0.293849154295449,2.76387042206852,0.0555555555555556,2.66528026462789,0.303569173439617,0.000936941893332151,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Icy_Strait_SST_MJJ",2.55687506695481,0.134185590175894,2.06189439807029,3.05185573583934,24.5064614788724,0.349,21,0.629386206902221,0.396126997438766,2.61777556695481,0.0555555555555556,2.66528026462789,0.398383693739777,0.00122957930166598,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Icy_Strait_SST_AMJ",2.6088744140727,0.120900107884263,2.14839685841365,3.06935196973174,21.2569886645098,0.326,21,0.5670717713847,0.321570393901382,2.6620124140727,0.0555555555555556,2.66528026462789,0.321581072748633,0.000992534175150101,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + Icy_Strait_SST_AMJJ",2.55207565965724,0.128630121258686,2.07621287162845,3.02793844768602,22.636225019422,0.336,21,0.60332874793974,0.364005578090534,2.60852365965724,0.0555555555555556,2.66528026462789,0.367226890298329,0.00113341632808126,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + NSEAK_SST_May",2.73629163735746,0.114473923133776,2.29230831738027,3.18027495733464,19.6231753310247,0.315,21,0.536930293155479,0.288294139708028,2.78590413735746,0.0555555555555556,2.66528026462789,0.302844258380307,0.000934704501173787,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + NSEAK_SST_MJJ",2.51732189112726,0.13230127850477,2.03850243938143,2.99614134287309,22.7750419301315,0.337,21,0.620548001743562,0.385079822467928,2.57410639112726,0.0555555555555556,2.66528026462789,0.393392497677037,0.00121417437554641,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + NSEAK_SST_AMJ",2.61176707953517,0.115378698430513,2.17111716634225,3.05241699272808,19.1622857536932,0.312,21,0.541174065466393,0.292869369133424,2.66043907953517,0.0555555555555556,2.66528026462789,0.292892806206526,0.000903990142612734,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + NSEAK_SST_AMJJ",2.52296469435019,0.125982309045474,2.06261582255883,2.98331356614154,20.9570964551158,0.324,21,0.590909407805837,0.349173928233445,2.57545269435019,0.0555555555555556,2.66528026462789,0.357242920615441,0.00110260160683778,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + SEAK_SST_May",2.69801586449768,0.119091146571229,2.23577649708997,3.1602552319054,21.5621392192827,0.328,21,0.558586990733135,0.312019426216299,2.75180786449768,0.0555555555555556,2.66528026462789,0.319506451755525,0.000986131023936804,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + SEAK_SST_MJJ",2.50780222125507,0.137864719651778,2.01500111097705,3.00060333153309,24.0633483130531,0.346,21,0.646642853778338,0.418146980342594,2.56766022125507,0.0555555555555556,2.66528026462789,0.427676653210706,0.00131998967040341,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + SEAK_SST_AMJ",2.57666684438378,0.121121649885221,2.1210759753328,3.03225771343475,20.6613440909574,0.322,21,0.568110895477456,0.322749989560197,2.62850884438378,0.0555555555555556,2.66528026462789,0.324102126906967,0.00100031520650298,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
"CPUE + SEAK_SST_AMJJ",2.50712106108733,0.132446425123429,2.03053396394077,2.98370815823389,22.5077170588593,0.335,21,0.621228799731205,0.385925221615474,2.56323356108733,0.0555555555555556,2.66528026462789,0.39633875131897,0.00122326775098447,0.0195317953134867,2.48639232920011,2.84416820005568,14.3719769383713,12.0178414029661,17.1872563625359
