"terms","fit","se.fit","fit_LPI","fit_UPI","AICc","sigma","df","stdev","var_yhat","fit_bias_corrected","weight","weight_pred","step1","step2","se_y_pred","fit_LPI_80","fit_UPI_80","exp_fit","exp_fit_LPI_80","exp_fit_UPI_80"
"CPUE",2.71124713428056,0.155050966286722,2.11012007929322,3.3123741892679,32.4570233112888,0.42773781,22,0.743598311837959,0.552938449368263,2.80272695133236,0.0555555555555556,2.66529494318922,0.571826006230518,0.0420106543743178,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + ISTI20_MJJ",2.70182322411776,0.106226080473006,2.2894357532538,3.11421069498173,16.0856653316567,0.29300045,21,0.498244481954859,0.248247563798466,2.74474785596786,0.0555555555555556,2.66529494318922,0.254560329147477,0.0280299844493883,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Chatham_SST_May",2.74876349796642,0.111536226797165,2.31670021630631,3.18082677962654,18.3091512219313,0.30689227,21,0.523151275960663,0.27368725753927,2.7958549306593,0.0555555555555556,2.66529494318922,0.290733167867457,0.0299553766823839,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Chatham_SST_MJJ",2.52857954185531,0.133034741904074,2.04456117663017,3.01259790708045,23.3322043048973,0.34074818,21,0.623988250030911,0.389361336176639,2.58663420294197,0.0555555555555556,2.66529494318922,0.395548848232884,0.0349403746187209,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Chatham_SST_AMJ",2.64946836490577,0.111315416116681,2.21991360241746,3.07902312739407,18.0051957801234,0.30495504,21,0.522115582064984,0.272604681035057,2.69596715311647,0.0555555555555556,2.66529494318922,0.273545465496878,0.0290564300642179,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Chatham_SST_AMJJ",2.53837414382907,0.122764287341551,2.08505771503561,2.99169057262254,20.2931905000771,0.31984322,21,0.575815548090303,0.331563545422536,2.58952398651905,0.0555555555555556,2.66529494318922,0.337304783297248,0.0322655256578776,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Icy_Strait_SST_May",2.71298992206852,0.11557153516633,2.2642639541581,3.16171588997894,20.1400316561408,0.31882428,21,0.542078549931142,0.293849154295449,2.76381438282728,0.0555555555555556,2.66529494318922,0.303555234282047,0.0306088038191773,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Icy_Strait_SST_MJJ",2.55687506695481,0.134185590175894,2.06189439807029,3.05185573583934,24.5064614788724,0.34918693,21,0.629386206902221,0.396126997438766,2.61784082299622,0.0555555555555556,2.66529494318922,0.398378890962057,0.035065146203573,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Icy_Strait_SST_AMJ",2.6088744140727,0.120900107884263,2.14839685841365,3.06935196973174,21.2569886645098,0.3263303,21,0.5670717713847,0.321570393901382,2.66212014642174,0.0555555555555556,2.66529494318922,0.321580473235896,0.0315044810273419,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
"CPUE + Icy_Strait_SST_AMJJ",2.55207565965724,0.128630121258686,2.07621287162845,3.02793844768602,22.636225019422,0.33584312,21,0.60332874793974,0.364005578090534,2.60847096028291,0.0555555555555556,2.66529494318922,0.367234543123871,0.0336665998864332,0.590133066928644,1.90992461752055,3.42066526885788,14.3721878998645,6.75257975314053,30.5897586671142
