"","MAPE"
"CPUE",0.194569196202056
"CPUE + ISTI3_May",0.13708703917617
"CPUE + ISTI10_May",0.135953935295148
"CPUE + ISTI15_May",0.141713786308661
"CPUE + ISTI20_May",0.150368703286007
"CPUE + ISTI3_MJJ",0.14776651952013
"CPUE + ISTI10_MJJ",0.148096531755643
"CPUE + ISTI15_MJJ",0.139709464397384
"CPUE + ISTI20_MJJ",0.126541788634899
"CPUE + Chatham_SST_May",0.0850030974453838
"CPUE + Chatham_SST_MJJ",0.118060838443404
"CPUE + Chatham_SST_AMJ",0.0805740319174754
"CPUE + Chatham_SST_AMJJ",0.0888876070881491
"CPUE + Icy_Strait_SST_May",0.0790055972752658
"CPUE + Icy_Strait_SST_MJJ",0.120062386077801
"CPUE + Icy_Strait_SST_AMJ",0.0722051593166184
"CPUE + Icy_Strait_SST_AMJJ",0.0909937398529549
"CPUE + NSEAK_SST_May",0.101913635576502
"CPUE + NSEAK_SST_MJJ",0.0924495540503549
"CPUE + NSEAK_SST_AMJ",0.0841868524454164
"CPUE + NSEAK_SST_AMJJ",0.0680457043094742
"CPUE + SEAK_SST_May",0.104541920380906
"CPUE + SEAK_SST_MJJ",0.103923969445037
"CPUE + SEAK_SST_AMJ",0.0881057631631455
"CPUE + SEAK_SST_AMJJ",0.0822466896686432
