"","region","year","SST_MJJ","SST_May"
"1","Chatham_Strait",1997,10.0536699679306,7.57706888188212
"2","Chatham_Strait",1998,9.85955706470477,7.92264855687606
"3","Chatham_Strait",1999,8.90018379281537,6.99335556633519
"4","Chatham_Strait",2000,9.67595779772011,7.40515158864904
"5","Chatham_Strait",2001,9.09708338049425,6.79873635702159
"6","Chatham_Strait",2002,8.92433664807179,6.41024739267524
"7","Chatham_Strait",2003,9.91199564772145,7.80812030075188
"8","Chatham_Strait",2004,10.4158246557253,8.05754183846714
"9","Chatham_Strait",2005,10.5904572856873,8.5444943002668
"10","Chatham_Strait",2006,9.73697423666693,7.23068639340286
"11","Chatham_Strait",2007,9.54629370469184,7.17470288624788
"12","Chatham_Strait",2008,8.65272448594605,6.86157773465923
"13","Chatham_Strait",2009,9.7887457622551,7.3636393402862
"14","Chatham_Strait",2010,9.65901940334708,8.05544021343682
"15","Chatham_Strait",2011,9.60941939526235,7.46048872180451
"16","Chatham_Strait",2012,9.19931865955211,7.11974411836042
"17","Chatham_Strait",2013,9.66312242973024,6.80144554935726
"18","Chatham_Strait",2014,9.97698252351308,8.26644918748484
"19","Chatham_Strait",2015,10.6613002937451,9.01914140189183
"20","Chatham_Strait",2016,10.9686979410893,8.96573853989813
"21","Chatham_Strait",2017,9.67175934459805,7.77177661896677
"22","Chatham_Strait",2018,9.91186723529253,7.52762915352898
"23","Chatham_Strait",2019,10.5012763494758,8.3671355808877
"24","Chatham_Strait",2020,9.97634144501038,8.19229323308271
"25","Icy_Strait",1997,10.4302071172555,7.16957757296467
"26","Icy_Strait",1998,10.1517366444786,7.39885560675883
"27","Icy_Strait",1999,9.2985444615122,6.32792626728111
"28","Icy_Strait",2000,10.0795269670592,7.09938556067588
"29","Icy_Strait",2001,9.66630508619219,6.5352534562212
"30","Icy_Strait",2002,9.44031148660181,6.30911674347158
"31","Icy_Strait",2003,10.200273937532,7.42468509984639
"32","Icy_Strait",2004,10.8740526540365,7.75031490015361
"33","Icy_Strait",2005,11.3003493770268,8.58151305683564
"34","Icy_Strait",2006,10.3584802867384,6.90046082949309
"35","Icy_Strait",2007,9.6151060761222,6.73288786482335
"36","Icy_Strait",2008,9.00643258235193,6.5021044546851
"37","Icy_Strait",2009,10.3104232804233,7.45490015360983
"38","Icy_Strait",2010,10.1328564601468,7.92505376344086
"39","Icy_Strait",2011,10.0820458269329,7.02353302611367
"40","Icy_Strait",2012,9.40167852875917,7.00820276497696
"41","Icy_Strait",2013,10.1229863457928,6.40549155145929
"42","Icy_Strait",2014,10.4466643625192,8.14048387096774
"43","Icy_Strait",2015,10.9717438129374,8.54244239631336
"44","Icy_Strait",2016,11.8409723502304,8.96483870967742
"45","Icy_Strait",2017,10.0296000170678,7.41586021505376
"46","Icy_Strait",2018,10.3004685099846,7.08609831029186
"47","Icy_Strait",2019,11.1007359617682,7.99846390168971
"48","Icy_Strait",2020,10.7290306366274,8.18886328725038
"49","NSEAK",1997,10.0259747820904,7.43298256723534
"50","NSEAK",1998,9.91563383951261,7.77834463234746
"51","NSEAK",1999,8.94146342720207,6.79656317514714
"52","NSEAK",2000,9.68506520317531,7.30129330254042
"53","NSEAK",2001,9.19178856357661,6.72802261044476
"54","NSEAK",2002,9.07272466206428,6.50368062281159
"55","NSEAK",2003,9.87005732697609,7.63867205542725
"56","NSEAK",2004,10.4028630542932,7.98228004171944
"57","NSEAK",2005,10.6060521699901,8.42645235789317
"58","NSEAK",2006,9.71759610991085,7.10468784921404
"59","NSEAK",2007,9.5156064714793,7.03607483423974
"60","NSEAK",2008,8.72061491469865,6.76011100350145
"61","NSEAK",2009,9.78605500095193,7.37054402890561
"62","NSEAK",2010,9.66545421415977,7.82664903523802
"63","NSEAK",2011,9.65728309410878,7.32626219921031
"64","NSEAK",2012,9.2042063353117,7.05201910899203
"65","NSEAK",2013,9.75950505558453,6.79110984876704
"66","NSEAK",2014,10.0395430335163,8.22931889294495
"67","NSEAK",2015,10.8303081609509,9.05012813827013
"68","NSEAK",2016,11.2109122008658,9.03683733144602
"69","NSEAK",2017,9.87198543544662,7.84378119645385
"70","NSEAK",2018,10.1850988663736,7.69697552708038
"71","NSEAK",2019,10.9435307722235,8.55590609401773
"72","NSEAK",2020,10.265057912621,8.41598618043656
