"year","SST_Jordan_MJJ","SST_Jordan_May"
1997,10.44,7.14
1998,10.07,7.35
1999,9.18,6.13
2000,10.04,7.09
2001,9.65,6.49
2002,9.41,6.32
2003,10.17,7.42
2004,10.84,7.71
2005,11.32,8.59
2006,10.28,6.88
2007,9.59,6.6
2008,8.9,6.44
2009,10.11,7.35
2010,9.99,7.82
2011,9.93,6.86
2012,9.3,6.96
2013,10.02,6.49
2014,10.33,8.01
2015,10.82,8.44
2016,11.77,8.92
2017,9.92,7.34
2018,10.16,7.03
2019,10.92,7.92
2020,10.63,8.09
