"Terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"Chatham_SST_AMJ","m5a",19,12.4,29.1,0.77,22.3,31.116
"Chatham_SST_AMJJ","m6a",20,12.6,31.7,0.73,27.1,35.741
"Chatham_SST_May","m3a",18.4,12.1,28,0.78,21.5,34.002
"Chatham_SST_MJJ","m4a",21.1,12.8,34.6,0.69,30.6,41.409
"Icy_Strait_SST_AMJ","m9a",20,13,30.9,0.76,23.3,32.792
"Icy_Strait_SST_AMJJ","m10a",21.5,13.5,34.4,0.72,27.5,35.609
"Icy_Strait_SST_May","m7a",18.5,12.1,28.3,0.77,22.3,35.625
"Icy_Strait_SST_MJJ","m8a",22.7,13.8,37.4,0.69,30.4,40.605
"ISTI20_JJ","m2a",22.5,13.6,37.3,0.68,31.2,28.302
"no temperature index included","m1a",19.3,11.1,33.3,0.61,34.9,46.437
"NSEAK_SST_AMJ","m13a",19.3,12.6,29.8,0.76,23.2,31.512
"NSEAK_SST_AMJJ","m14a",20.1,12.6,32,0.72,27.5,34.986
"NSEAK_SST_May","m11a",19,12.4,28.9,0.77,22.1,33.658
"NSEAK_SST_MJJ","m12a",21.1,12.9,34.5,0.69,30.3,39.068
"SEAK_SST_AMJ","m17a",18.4,11.8,28.7,0.75,24.8,33.013
"SEAK_SST_AMJJ","m18a",19,11.8,30.4,0.71,28.3,36.174
"SEAK_SST_May","m15a",18.8,12.1,29.1,0.76,23.9,35.02
"SEAK_SST_MJJ","m16a",20,12.2,32.8,0.69,30.6,39.897
