"terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m7",20.167,6.093,66.752,0.669,43.705042222776,53.463
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m3",22.478,7.021,71.962,0.673,43.3807121843854,56.291
"vessel x adj_raw_pink_log + NSEAK_SST_May + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m11",21.813,6.774,70.24,0.673,43.381460402989,56.862
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m2",33.283,11.345,97.643,0.691,41.8642289673157,57.556
"vessel x adj_raw_pink_log+  NSEAK_SST_AMJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m13",17.49,5.275,57.992,0.68,42.8453954401106,58.253
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m9",16.267,4.716,56.106,0.673,43.3964366509849,58.701
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m5",18.408,5.635,60.131,0.681,42.7486220041418,58.778
"vessel x adj_raw_pink_log + SEAK_SST_May + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m15",28.806,9.232,89.882,0.666,43.8898521366223,59.962
"vessel x adj_raw_pink_log + NSEAK_SST_AMJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m14",28.938,9.169,91.327,0.661,44.3418763591246,60.181
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m6",29.63,9.395,93.443,0.659,44.4372240150227,60.603
"vessel x adj_raw_pink_log + SEAK_SST_AMJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m17",23.871,7.574,75.228,0.675,43.2161800732007,61.126
"vessel x adj_raw_pink_log + odd_factor +vessel + adj_raw_pink_log","m1",44.248,13.127,149.148,0.599,45.3217940548357,61.128
"vessel x adj_raw_pink_log + SEAK_SST_AMJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m18",38.218,12.46,117.225,0.662,44.2465780939958,61.135
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m10",27.176,8.4,87.923,0.654,44.8599734110838,61.818
"vessel x adj_raw_pink_log + SEAK_SST_MJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m16",56.594,17.693,181.029,0.643,45.6303527415452,64.026
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m4",45.426,14.197,145.347,0.634,46.298258901664,64.192
"vessel x adj_raw_pink_log + NSEAK_SST_MJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m12",45.05,14.217,142.756,0.64,45.8698014132771,64.263
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor x adj_raw_pink_log + vessel + adj_raw_pink_log","m8",40.993,12.794,131.344,0.634,46.3171987520125,65.345
