"","MAPE5"
"no temperature index included",61.127627906226
"ISTI20_JJ",58.5830850645309
"Chatham_SST_May",56.2910372655516
"Chatham_SST_MJJ",64.1915080000526
"Chatham_SST_AMJ",58.7777164357462
"Chatham_SST_AMJJ",60.6026453852043
"Icy_Strait_SST_May",53.4632570217232
"Icy_Strait_SST_MJJ",65.3447182385212
"Icy_Strait_SST_AMJ",58.7005904198679
"Icy_Strait_SST_AMJJ",61.8180946492592
"NSEAK_SST_May",56.8623602874628
"NSEAK_SST_MJJ",64.2629879865728
"NSEAK_SST_AMJ",58.2529496899005
"NSEAK_SST_AMJJ",60.1807682282065
"SEAK_SST_May",59.9619664754625
"SEAK_SST_MJJ",64.0261686965753
"SEAK_SST_AMJ",61.1261654355127
"SEAK_SST_AMJJ",61.1346275376923
