Model,Term,Estimate,Standard Error,Statistic,p value,,,,
m11,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.10465171,0.162,-0.646,0.526,,,,
m12,(Intercept),3.91547591,1.736,2.255,0.037,,,,
m12,as.factor(odd_even_factor)odd,0.34283854,0.228,1.505,0.15,,,,
m12,as.factor(vessel)Medeia,2.6368445,1.641,1.607,0.126,,,,
m12,as.factor(vessel)NW Explorer,0.19883839,1.047,0.19,0.852,,,,
m12,NSEAK_SST_MJJ,-0.29201718,0.166,-1.754,0.096,,,,
m12,adj_raw_pink_log,0.42138276,0.176,2.391,0.028,,,,
m12,as.factor(vessel)Medeia:adj_raw_pink_log,-0.57116412,0.346,-1.653,0.116,,,,
m12,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.12920074,0.172,-0.752,0.462,,,,
m13,(Intercept),3.96081132,1.394,2.841,0.011,,,,
m13,as.factor(odd_even_factor)odd,0.36423752,0.214,1.705,0.105,,,,
m13,as.factor(vessel)Medeia,2.45076977,1.547,1.584,0.131,,,,
m13,as.factor(vessel)NW Explorer,0.24696939,0.981,0.252,0.804,,,,
m13,NSEAK_SST_AMJ,-0.38887019,0.161,-2.416,0.027,,,,
m13,adj_raw_pink_log,0.41717766,0.165,2.535,0.021,,,,
m13,as.factor(vessel)Medeia:adj_raw_pink_log,-0.52708479,0.326,-1.616,0.123,,,,
m13,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.12364126,0.161,-0.77,0.451,,,,
m14,(Intercept),4.16206639,1.617,2.575,0.019,,,,
m14,as.factor(odd_even_factor)odd,0.34490708,0.221,1.563,0.135,,,,
m14,as.factor(vessel)Medeia,2.57913929,1.592,1.62,0.123,,,,
m14,as.factor(vessel)NW Explorer,0.2706122,1.017,0.266,0.793,,,,
m14,NSEAK_SST_AMJJ,-0.36716606,0.175,-2.103,0.05,,,,
m14,adj_raw_pink_log,0.43165813,0.171,2.524,0.021,,,,
m14,as.factor(vessel)Medeia:adj_raw_pink_log,-0.55204721,0.335,-1.646,0.117,,,,
m14,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.13971361,0.167,-0.838,0.413,,,,
m15,(Intercept),3.26983079,1.256,2.604,0.018,,,,
m15,as.factor(odd_even_factor)odd,0.36850487,0.218,1.688,0.109,,,,
m15,as.factor(vessel)Medeia,2.75030353,1.576,1.745,0.098,,,,
m15,as.factor(vessel)NW Explorer,0.18585987,1.001,0.186,0.855,,,,
m15,SEAK_SST_May,-0.27556528,0.126,-2.194,0.042,,,,
m15,adj_raw_pink_log,0.41357775,0.168,2.458,0.024,,,,
m15,as.factor(vessel)Medeia:adj_raw_pink_log,-0.60030914,0.33,-1.82,0.085,,,,
m15,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.11571738,0.164,-0.706,0.489,,,,
m16,(Intercept),3.91311588,1.7,2.302,0.033,,,,
m16,as.factor(odd_even_factor)odd,0.32598728,0.228,1.432,0.169,,,,
m16,as.factor(vessel)Medeia,2.81414852,1.633,1.723,0.102,,,,
m16,as.factor(vessel)NW Explorer,0.22006138,1.045,0.211,0.836,,,,
m16,SEAK_SST_MJJ,-0.28172909,0.156,-1.803,0.088,,,,
m16,adj_raw_pink_log,0.42714485,0.176,2.428,0.026,,,,
m16,as.factor(vessel)Medeia:adj_raw_pink_log,-0.60193657,0.342,-1.76,0.095,,,,
m16,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.12976278,0.171,-0.759,0.458,,,,
m17,(Intercept),3.91148404,1.409,2.777,0.012,,,,
m17,as.factor(odd_even_factor)odd,0.34854887,0.215,1.618,0.123,,,,
m17,as.factor(vessel)Medeia,2.62881849,1.554,1.691,0.108,,,,
m17,as.factor(vessel)NW Explorer,0.30571043,0.994,0.308,0.762,,,,
m17,SEAK_SST_AMJ,-0.36502429,0.156,-2.342,0.031,,,,
m17,adj_raw_pink_log,0.43243982,0.167,2.593,0.018,,,,
m17,as.factor(vessel)Medeia:adj_raw_pink_log,-0.56044253,0.327,-1.715,0.103,,,,
m17,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.13569764,0.162,-0.836,0.414,,,,
m18,(Intercept),4.16742137,1.61,2.589,0.019,,,,
m18,as.factor(odd_even_factor)odd,0.33275502,0.221,1.507,0.149,,,,
m18,as.factor(vessel)Medeia,2.74820131,1.587,1.731,0.101,,,,
m18,as.factor(vessel)NW Explorer,0.30331707,1.018,0.298,0.769,,,,
m18,SEAK_SST_AMJJ,-0.35138071,0.166,-2.118,0.048,,,,
m18,adj_raw_pink_log,0.43795161,0.171,2.557,0.02,,,,
m18,as.factor(vessel)Medeia:adj_raw_pink_log,-0.58093566,0.333,-1.744,0.098,,,,
m18,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.14212414,0.167,-0.852,0.405,,,,
