"","MAPE5"
"CPUE*as.factor(odd_even_factor)",39.4818493494516
"CPUE*as.factor(odd_even_factor) + ISTI20_MJJ",30.7927439154831
"CPUE*as.factor(odd_even_factor) + Chatham_SST_May",35.2406067552095
"CPUE*as.factor(odd_even_factor) + Chatham_SST_MJJ",37.3268884083498
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJ",32.6343107958091
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJJ",34.5247836806854
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_May",36.0225083978082
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_MJJ",35.5795806199907
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJ",32.3062022906935
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJJ",32.9809519393433
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_May",34.5057465308665
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_MJJ",35.8679153105971
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_AMJ",32.8835220522354
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_AMJJ",34.0838110197379
"CPUE*as.factor(odd_even_factor) + SEAK_SST_May",35.4779706469163
"CPUE*as.factor(odd_even_factor) + SEAK_SST_MJJ",35.9897699785739
"CPUE*as.factor(odd_even_factor) + SEAK_SST_AMJ",33.8214977653451
"CPUE*as.factor(odd_even_factor) + SEAK_SST_AMJJ",34.6699881339289
"CPUE:as.factor(odd_even_factor)",49.0744803781419
"ISTI20_MJJ+ CPUE:as.factor(odd_even_factor)",29.3350229529688
"Chatham_SST_May+ CPUE:as.factor(odd_even_factor)",35.9188668466795
"Chatham_SST_MJJ+ CPUE:as.factor(odd_even_factor)",40.7853731191032
"Chatham_SST_AMJ+ CPUE:as.factor(odd_even_factor)",34.5709149554136
"Chatham_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",36.516945681386
"Icy_Strait_SST_May+ CPUE:as.factor(odd_even_factor)",37.8015267735656
"Icy_Strait_SST_MJJ+ CPUE:as.factor(odd_even_factor)",40.3244543783858
"Icy_Strait_SST_AMJ+ CPUE:as.factor(odd_even_factor)",36.6687182269587
"Icy_Strait_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",37.1219984572462
"NSEAK_SST_May+ CPUE:as.factor(odd_even_factor)",34.9993796581443
"NSEAK_SST_MJJ+ CPUE:as.factor(odd_even_factor)",38.2889054165093
"NSEAK_SST_AMJ+ CPUE:as.factor(odd_even_factor)",33.4742533711982
"NSEAK_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",35.6604723043223
"SEAK_SST_May+ CPUE:as.factor(odd_even_factor)",36.9526499534709
"SEAK_SST_MJJ+ CPUE:as.factor(odd_even_factor)",39.6909683530004
"SEAK_SST_AMJ+ CPUE:as.factor(odd_even_factor)",35.1407632936262
"SEAK_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",37.3362238426396
