"Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values","JYear","Year","vessel","adj_raw_pink_log","ISTI20_MJJ","Chatham_SST_MJJ","Chatham_SST_May","Chatham_SST_AMJJ","Chatham_SST_AMJ","Icy_Strait_SST_MJJ","Icy_Strait_SST_May","Icy_Strait_SST_AMJJ","Icy_Strait_SST_AMJ","NSEAK_SST_MJJ","NSEAK_SST_May","NSEAK_SST_AMJJ","NSEAK_SST_AMJ","SEAK_SST_MJJ","SEAK_SST_May","SEAK_SST_AMJJ","SEAK_SST_AMJ","index","weight_values","odd_even_factor","SEAKCatch_log"
42.45,0.51,0.12,0.04,1.35,27.68,1997,1998,"Cobb",5.33271879326537,9.2753,10.08097977,7.477507987,8.829472843,7.588146965,10.29519048,7.007142857,8.828428571,7.30247619,10.01928075,7.347165179,8.707040551,7.404987599,10.47187257,7.99954187,9.198062336,7.986963325,"pink_cal_pool",0.001,"even",3.74829744235844
77.82,0.14,0.21,0.01,0.39,73.5,1998,1999,"Cobb",7.14124512235049,9.3975,9.850500532,7.830095847,8.910974441,7.881618743,9.967,7.343285714,8.847071429,7.559952381,9.892839782,7.652589286,8.846687128,7.706326885,10.36003254,8.365309801,9.378880023,8.370167731,"pink_cal_pool",0.001,"odd",4.35437411619335
20.25,-0.36,0.14,0.03,-0.98,31.63,1999,2000,"Cobb",5.04985600724954,8.5597,8.898636848,6.838242812,8.04951278,7.115058573,9.084571429,6.169571429,8.023464286,6.784571429,8.92890129,6.699605655,7.984099702,6.948244048,9.296018275,7.230045062,8.403885655,7.431941419,"pink_cal_pool",0.001,"even",3.00810427375793
67.02,0.05,0.15,0,0.13,69.18,2000,2001,"Cobb",6.38519439899773,8.77,9.697657082,7.340702875,8.623027157,7.523844515,9.939380952,7.023571429,8.674678571,7.35,9.704704861,7.234412202,8.567150298,7.389818948,10.02490049,7.712835148,8.946833459,7.861349355,"pink_cal_pool",0.001,"odd",4.20504558694134
45.32,0.31,0.17,0.02,0.85,35.96,2001,2002,"Cobb",5.50125821054473,9.0255,9.154259851,6.741246006,8.183154952,7.121107561,9.566809524,6.478,8.399357143,7.081761905,9.221800595,6.659419643,8.173500744,7.011339286,9.510521968,7.101487045,8.522754412,7.447984729,"pink_cal_pool",0.001,"even",3.81364695263453
52.47,-0.39,0.23,0.06,-1.11,84.21,2002,2003,"Cobb",6.10924758276437,8.1995,8.970766773,6.386485623,7.845814696,6.641064963,9.336333333,6.263571429,8.019928571,6.598238095,9.05453373,6.392953869,7.883485863,6.614466766,9.441509576,6.920559519,8.332904619,7.139427963,"pink_cal_pool",0.001,"odd",3.96017934972858
45.31,0.65,0.13,0.08,1.73,25.68,2003,2004,"Cobb",5.31811999384422,9.3077,9.918892439,7.712715655,8.903722045,7.84544196,10.08133333,7.286285714,8.882178571,7.531714286,9.858110119,7.571540179,8.758262649,7.604099702,10.3188722,8.168546752,9.249546564,8.163621229,"pink_cal_pool",0.001,"even",3.81352210869619
59.12,0.03,0.21,0,0.07,62.48,2004,2005,"Cobb",6.80461452006262,9.3331,10.43404686,7.943290735,9.21928115,7.964046858,10.67757143,7.528714286,9.250928571,7.687809524,10.38101438,7.892775298,9.090174851,7.786386409,10.97719614,8.578426587,9.742688697,8.512459632,"pink_cal_pool",0.001,"odd",4.07959442855638
11.61,-0.38,0.26,0.07,-1.09,18.39,2005,2006,"Cobb",5.06259503302697,10.2064,10.66776358,8.513865815,9.479456869,8.443525027,11.15685714,8.404857143,9.640857143,8.255571429,10.63086062,8.41781994,9.351847098,8.255682044,11.06199524,8.923548629,9.830118288,8.823070472,"pink_cal_pool",0.001,"even",2.45156528600536
44.8,-0.37,0.16,0.03,-1.01,70.52,2006,2007,"Cobb",6.14418563412565,8.7508,9.776048988,7.159872204,8.675615016,7.58341853,10.19233333,6.838571429,8.860714286,7.487809524,9.720674603,6.979769345,8.550115327,7.363328373,10.1859657,7.632027788,9.069050882,7.960554512,"pink_cal_pool",0.001,"odd",3.8021277120796
15.91,-0.24,0.19,0.02,-0.65,21.84,2007,2008,"Cobb",3.85014760171006,8.936,9.521980831,7.042204473,8.407571885,7.266922258,9.494857143,6.548,8.161321429,6.866666667,9.435255456,6.898779762,8.237241443,7.031006944,9.992076605,7.511734885,8.822146076,7.637346351,"pink_cal_pool",0.001,"even",2.76688020964154
58.88,-0.16,0.31,0.02,-0.47,74.8,2010,2011,"NW Explorer",9.43196276691845,9.3533,9.645410011,7.969105431,8.661701278,7.925846645,9.872761905,7.708714286,8.680892857,7.807904762,9.623722718,7.755565476,8.540399926,7.71921875,10.0920691,8.283405933,9.052232445,8.226806859,"pink_cal_pool",0.001,"odd",4.07553635832304
21.28,0.02,0.17,0,0.04,22.71,2011,2012,"NW Explorer",5.70711026474888,8.6533,9.591288605,7.312428115,8.492771565,7.547763578,9.843714286,6.809857143,8.474535714,7.178809524,9.665032242,7.251808036,8.43703683,7.436448413,10.05173238,7.740296658,8.883162786,7.918394042,"pink_cal_pool",0.001,"even",3.05762752307515
94.72,0.24,0.3,0.04,0.72,80.46,2012,2013,"NW Explorer",8.51579221050061,8.4767,9.168242812,7.071565495,8.181861022,7.224142705,9.232047619,6.924857143,8.104178571,7.066952381,9.141282242,6.951986607,8.088485863,7.102557044,9.679481787,7.46885092,8.627470897,7.606586557,"pink_cal_pool",0.001,"odd",4.55091906892113
37.17,0.15,0.31,0.01,0.44,34.84,2013,2014,"NW Explorer",6.8001700683022,8.8347,9.656230032,6.741309904,8.441797125,7.213631523,9.880714286,6.369857143,8.452142857,6.973952381,9.67311756,6.588735119,8.35515811,7.041044147,10.39433346,7.510859932,9.104802854,7.85053824,"pink_cal_pool",0.001,"even",3.61560595253893
35.09,-0.2,0.19,0.01,-0.55,46.45,2014,2015,"NW Explorer",7.67322312112171,9.12,9.975175719,8.165239617,8.755798722,7.767689031,10.23414286,7.897285714,8.81025,7.622952381,10.02861855,8.153869048,8.701034226,7.637539683,10.56935787,8.615362373,9.264317499,8.173009138,"pink_cal_pool",0.001,"odd",3.55798937016045
18.37,0.2,0.31,0.03,0.59,16.36,2015,2016,"NW Explorer",6.7202201551353,9.6067,10.6215229,8.873769968,9.554488818,8.73,10.72547619,8.341142857,9.430714286,8.29247619,10.80536706,8.918936012,9.559315476,8.653417659,11.42881086,9.643894104,10.213681,9.315996996,"pink_cal_pool",0.001,"even",2.91094750673615
34.73,-0.02,0.3,0,-0.06,38.42,2016,2017,"NW Explorer",7.93773177526011,10.1985,11.0371459,8.915527157,10.0336901,9.068146965,11.64580952,8.806714286,10.37092857,9.137666667,11.18063492,8.917068452,10.05304129,9.001381448,11.67002253,9.607217424,10.59035205,9.592910252,"pink_cal_pool",0.001,"odd",3.54774131771803
