"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",1.01213466,1.039,0.974,0.344
"m1","as.factor(vessel)Medeia",3.13681107,1.711,1.833,0.084
"m1","as.factor(vessel)NW Explorer",-0.42454887,1.076,-0.395,0.698
"m1","adj_raw_pink_log",0.43953818,0.195,2.252,0.038
"m1","as.factor(odd_even_factor)odd",1.47611661,0.829,1.781,0.093
"m1","as.factor(vessel)Medeia:adj_raw_pink_log",-0.75587067,0.358,-2.109,0.05
"m1","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.03042703,0.178,-0.171,0.866
"m1","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.1862669,0.141,-1.317,0.205
"m2","(Intercept)",4.45593168,1.685,2.644,0.018
"m2","as.factor(vessel)Medeia",2.69275094,1.518,1.774,0.095
"m2","as.factor(vessel)NW Explorer",-0.69569606,0.954,-0.729,0.476
"m2","adj_raw_pink_log",0.49560149,0.173,2.858,0.011
"m2","as.factor(odd_even_factor)odd",1.31991922,0.733,1.801,0.091
"m2","ISTI20_MJJ",-0.40773836,0.168,-2.433,0.027
"m2","as.factor(vessel)Medeia:adj_raw_pink_log",-0.63107554,0.32,-1.974,0.066
"m2","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.00012512,0.157,-0.001,0.999
"m2","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18440445,0.125,-1.481,0.158
"m3","(Intercept)",2.92750415,1.292,2.265,0.038
"m3","as.factor(vessel)Medeia",2.95261426,1.554,1.901,0.076
"m3","as.factor(vessel)NW Explorer",-0.22158248,0.98,-0.226,0.824
"m3","adj_raw_pink_log",0.46667384,0.177,2.631,0.018
"m3","as.factor(odd_even_factor)odd",1.36779816,0.753,1.816,0.088
"m3","Chatham_SST_May",-0.28146211,0.13,-2.164,0.046
"m3","as.factor(vessel)Medeia:adj_raw_pink_log",-0.67959533,0.327,-2.08,0.054
"m3","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.04776213,0.161,-0.296,0.771
