"","MAPE5"
"CPUE",60.0670498877839
"CPUE + ISTI20_MJJ",36.5475410958369
"CPUE + Chatham_SST_May",35.0090347510476
"CPUE + Chatham_SST_MJJ",45.4445861864831
"CPUE + Chatham_SST_AMJ",40.0856780594347
"CPUE + Chatham_SST_AMJJ",44.1073510141433
"CPUE + Icy_Strait_SST_May",40.065564463878
"CPUE + Icy_Strait_SST_MJJ",45.1492411686268
"CPUE + Icy_Strait_SST_AMJ",39.6455895392605
"CPUE + Icy_Strait_SST_AMJJ",43.4140838746137
"CPUE + NSEAK_SST_May",32.0381588635002
"CPUE + NSEAK_SST_MJJ",41.5733856554633
"CPUE + NSEAK_SST_AMJ",36.3919878249895
"CPUE + NSEAK_SST_AMJJ",40.9963759028946
"CPUE + SEAK_SST_May",30.8810043770531
"CPUE + SEAK_SST_MJJ",39.5960971949858
"CPUE + SEAK_SST_AMJ",36.0570417051669
"CPUE + SEAK_SST_AMJJ",39.4422181882405
