"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","wMAPE"
"CPUE +odd_even_factor",3.12610594716382,2.53219396004047,3.72001793428718,0.101403196772414,25,0.43963976915127,0.565575649451738,0.548198675429808,36.1675546135375,37.2110328744071,40.0550652115505,6.09084005696119e-06,0.43963976915127,0.106805895179235,0.160918614473454
"CPUE + ISTI20_MJJ+odd_even_factor",3.08570029808262,2.59756277754119,3.57383781862406,0.167618103852967,23,0.329801411308436,0.775087773359481,0.745751395971588,22.3931414036993,25.2502842608422,28.872325733721,1.24266423530835e-07,0.329801411308436,0.0741618856499005,0.099305803637367
"CPUE + Chatham_SST_May+odd_even_factor",3.27200033992075,2.83016305148585,3.71383762835565,0.131126834040402,23,0.308120772928074,0.803686573757513,0.778080474682406,18.7212027805812,21.5783456377241,25.2003871106029,2.64376173923204e-08,0.308120772928074,0.073773297886917,0.116507220933628
"CPUE + Chatham_SST_MJJ+odd_even_factor",3.42995457895187,2.91892522716933,3.9409839307344,0.145023171169969,23,0.359125297488569,0.733314107091068,0.698528990624685,26.992896842148,29.8500396992908,33.4720811721696,8.59814996454268e-07,0.359125297488569,0.087875633688227,0.130123390091767
"CPUE + Chatham_SST_AMJ+odd_even_factor",3.22564273740355,2.77252390589228,3.67876156891482,0.138322416982906,23,0.314322913167885,0.795703875865214,0.769056555325895,19.7973697177903,22.6545125749331,26.2765540478119,4.16228682575482e-08,0.314322913167885,0.0756768983582832,0.106414656769165
"CPUE + Chatham_SST_AMJJ+odd_even_factor",3.32808075789071,2.84196807833146,3.81419343744996,0.142044827939418,23,0.33993376561793,0.761055710430687,0.729889063965124,24.0271869238327,26.8843297809755,30.5063712538543,2.47199448002555e-07,0.33993376561793,0.0822202066293304,0.118415621417807
"CPUE + Icy_Strait_SST_May+odd_even_factor",3.28814866785619,2.84040014458352,3.73589719112886,0.132063892873541,23,0.312589583946102,0.797950839437139,0.771596601102853,19.4987633989957,22.3559062561386,25.9779477290173,3.66985745425921e-08,0.312589583946102,0.0726254297148183,0.12190616601983
"CPUE + Icy_Strait_SST_MJJ+odd_even_factor",3.456180859538,2.94862867427353,3.96373304480248,0.143909669050793,23,0.356732872852416,0.736855493348023,0.7025322968282,26.6319554805906,29.4890983377334,33.1111398106122,7.3888320099896e-07,0.356732872852416,0.0874775384528382,0.124235406797235
"CPUE + Icy_Strait_SST_AMJ+odd_even_factor",3.29362210401882,2.83807969595135,3.7491645120863,0.134265637451314,23,0.318071772286704,0.790801626746087,0.76351488240862,20.4376052177411,23.294748074884,26.9167895477628,5.45193329136358e-08,0.318071772286704,0.0744211888755086,0.109561777275415
"CPUE + Icy_Strait_SST_AMJJ+odd_even_factor",3.36559444832017,2.87828709662718,3.85290180001316,0.140238707381018,23,0.341661780480421,0.758620243354667,0.727135927270493,24.3009944715252,27.1581373286681,30.7801788015469,2.773769828682e-07,0.341661780480421,0.0831347829290415,0.115012205382868
"CPUE + NSEAK_SST_May+odd_even_factor",3.29175150542472,2.84662526604091,3.73687774480852,0.131001467179679,23,0.310880802959682,0.800153818040747,0.774086924741714,19.2027608742486,22.0599037313915,25.6819452042703,3.23918568612246e-08,0.310880802959682,0.0748862137675448,0.116102261732975
"CPUE + NSEAK_SST_MJJ+odd_even_factor",3.41149774839067,2.90274436661923,3.92025113016211,0.144790353386355,23,0.357358776566779,0.735931285762145,0.701487540426772,26.7266178653376,29.5837607224805,33.2058021953592,7.68850875832231e-07,0.357358776566779,0.0868253950011443,0.127777993590249
"CPUE + NSEAK_SST_AMJ+odd_even_factor",3.24433384926819,2.78557232852745,3.70309537000894,0.138859811385238,23,0.318756082862952,0.789900505251355,0.762496223327618,20.5536578842239,23.4108007413667,27.0328422142455,5.7252491379297e-08,0.318756082862952,0.0768396869336426,0.110287816290552
"CPUE + NSEAK_SST_AMJJ+odd_even_factor",3.32639293204535,2.83622997109402,3.81655589299668,0.143499910183666,23,0.342652483457648,0.757218375406565,0.725551206981334,24.4573495293267,27.3144923864695,30.9365338593483,2.96231905686035e-07,0.342652483457648,0.082584692151502,0.119822696621581
"CPUE + SEAK_SST_May+odd_even_factor",3.28991175107679,2.8292817953807,3.75054170677288,0.136180153843806,23,0.321448526048411,0.786336212316527,0.758467022618683,21.0078651397952,23.8650079969381,27.4870494698169,6.93309424973007e-08,0.321448526048411,0.0784077932830676,0.121485497877298
"CPUE + SEAK_SST_MJJ+odd_even_factor",3.41739942857531,2.90553877027555,3.92926008687506,0.145526869574978,23,0.359601243432908,0.7326067652334,0.697729386785582,27.064415238333,29.9215580954758,33.5435995683546,8.86026493253849e-07,0.359601243432908,0.0871728240566322,0.129323347265992
"CPUE + SEAK_SST_AMJ+odd_even_factor",3.25859860648785,2.78753287531175,3.72966433766395,0.142112393585724,23,0.327510363828797,0.778201737073011,0.749271528865142,22.0167079680693,24.8738508252121,28.4958922980909,1.06048848327243e-07,0.327510363828797,0.0797975842458586,0.11532513729305
"CPUE + SEAK_SST_AMJJ+odd_even_factor",3.33458948611894,2.83830146810848,3.8308775041294,0.144959396339002,23,0.347073810459091,0.750912615008821,0.718422956096928,25.1496674255224,28.0068102826653,31.6288517555441,3.96337222959831e-07,0.347073810459091,0.0841686485912856,0.122946536188755
