"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",1.9156795,1.147,1.67,0.112
"m1","as.factor(vessel)Medeia",2.98669641,1.742,1.715,0.104
"m1","as.factor(vessel)NW Explorer",-0.20531828,1.084,-0.189,0.852
"m1","adj_raw_pink_log",0.34319845,0.185,1.86,0.079
"m1","as.factor(odd_even_factor)odd",-0.43123322,0.245,-1.761,0.095
"m1","as.factor(vessel)Medeia:adj_raw_pink_log",-0.70434117,0.363,-1.938,0.068
"m1","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.06904418,0.179,-0.386,0.704
"m2","(Intercept)",5.22147705,1.735,3.01,0.008
"m2","as.factor(vessel)Medeia",2.54243574,1.567,1.623,0.123
"m2","as.factor(vessel)NW Explorer",-0.47968083,0.975,-0.492,0.629
"m2","adj_raw_pink_log",0.40044286,0.167,2.404,0.028
"m2","as.factor(odd_even_factor)odd",-0.2849275,0.227,-1.254,0.227
"m2","ISTI20_MJJ",-0.40928342,0.173,-2.361,0.03
"m2","as.factor(vessel)Medeia:adj_raw_pink_log",-0.57958665,0.329,-1.763,0.096
"m2","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.03824267,0.16,-0.238,0.814
"m3","(Intercept)",3.84694667,1.362,2.825,0.012
"m3","as.factor(vessel)Medeia",2.81149675,1.583,1.776,0.094
"m3","as.factor(vessel)NW Explorer",-0.01786312,0.988,-0.018,0.986
"m3","adj_raw_pink_log",0.38048706,0.168,2.26,0.037
"m3","as.factor(odd_even_factor)odd",-0.42048982,0.222,-1.891,0.076
"m3","Chatham_SST_May",-0.29200253,0.133,-2.201,0.042
"m3","as.factor(vessel)Medeia:adj_raw_pink_log",-0.63052316,0.332,-1.901,0.074
"m3","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.08297869,0.163,-0.51,0.616
"m4","(Intercept)",4.49861925,1.841,2.443,0.026
"m4","as.factor(vessel)Medeia",2.90757176,1.652,1.76,0.096
"m4","as.factor(vessel)NW Explorer",0.00962512,1.035,0.009,0.993
"m4","adj_raw_pink_log",0.38757044,0.177,2.192,0.043
"m4","as.factor(odd_even_factor)odd",-0.39989301,0.233,-1.717,0.104
"m4","Chatham_SST_MJJ",-0.29337633,0.169,-1.739,0.1
"m4","as.factor(vessel)Medeia:adj_raw_pink_log",-0.64847477,0.346,-1.874,0.078
"m4","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.09967996,0.171,-0.584,0.567
"m5","(Intercept)",4.3845761,1.509,2.906,0.01
"m5","as.factor(vessel)Medeia",2.61133638,1.582,1.651,0.117
"m5","as.factor(vessel)NW Explorer",0.04882168,0.986,0.05,0.961
"m5","adj_raw_pink_log",0.39299752,0.168,2.337,0.032
