"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"vessel x adj_raw_pink_log + odd_factor",3.51192311951175,2.85708091010054,4.16676532892296,0.246648353584209,18,0.425961301959429,0.703558780639887,0.604745040853182,36.063986120441,45.063986120441,45.8149927193866,0.000523406148595374,0.425961301959429,0.0933895245790526,0.150803548124312,0.0962768081932025
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor",3.2514756135317,2.64724427147452,3.85570695558887,0.246325694278694,17,0.380362580264575,0.776760888471498,0.684838901371527,30.9738485104004,42.9738485104004,41.9437309342142,0.000168330555683084,0.380362580264575,0.0796399058102624,0.13554690523843,0.101789039176177
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor",3.42982791118214,2.83197016239427,4.02768565997,0.226987627340689,17,0.386677242315505,0.769287066640626,0.674287623492648,31.797117984539,43.797117984539,42.7670004083528,0.000218105034974286,0.386677242315505,0.0788067363956601,0.134389288806344,0.100848181879983
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor",3.55298664480253,2.92991432130253,4.17605896830253,0.235046457164302,17,0.403870440495858,0.748314119856277,0.644678757444156,33.9723074251566,45.9723074251566,44.9421898489704,0.000430553164378739,0.403870440495858,0.0826830998537069,0.144458518199499,0.0956290598221575
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor",3.35046192625658,2.75000858330175,3.95091526921141,0.234041081790955,17,0.384729624649816,0.771605325463902,0.67756045947845,31.5446413878922,43.5446413878922,42.514523811706,0.000201466817081703,0.384729624649816,0.0801536192599964,0.138054104391484,0.0964975836330572
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor",3.45443776657946,2.84702636397708,4.06184916918185,0.229589929948659,17,0.393456124229517,0.761126850960874,0.662767319003587,32.6660787067283,44.6660787067283,43.6359611305421,0.000286416668467334,0.393456124229517,0.0806840392208471,0.13956593365293,0.0921512167884641
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor",3.4364010928453,2.83601797208954,4.03678421360106,0.227659738409261,17,0.388478732762219,0.767132322154218,0.671245631276543,32.0295220100531,44.0295220100531,42.9994044338669,0.000234615307869971,0.388478732762219,0.0778025902101883,0.133567797346593,0.0968827967664477
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor",3.54415051367255,2.91989362702392,4.16840740032117,0.235166731205033,17,0.404828157646676,0.74711903519923,0.642991579104796,34.0907344387249,46.0907344387249,45.0606168625387,0.000446708158853144,0.404828157646676,0.0855503985469284,0.150995143170083,0.0989645858063665
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor",3.40372194586573,2.80303183158546,4.00441206014601,0.229795051083491,17,0.387487171955732,0.768319557196931,0.672921727807432,31.9017378715802,43.9017378715802,42.871620295394,0.00022539042499032,0.387487171955732,0.0799181225063312,0.138683114684342,0.0929097447081989
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor",3.46376344999424,2.8516645225145,4.07586237747397,0.231035469186252,17,0.396682707326983,0.757192972156985,0.657213607751037,33.0744374537921,45.0744374537921,44.0443198776059,0.000325427492764236,0.396682707326983,0.0834471525013319,0.145965125542638,0.0947666132974462
"vessel x adj_raw_pink_log + NSEAK_SST_May + odd_factor",3.44568223695292,2.85006340871242,4.04130106519342,0.225316039147215,17,0.385710258106518,0.770439535859411,0.675914638860345,31.6719237376534,43.6719237376534,42.6418061614672,0.00020969185669518,0.385710258106518,0.078659755372947,0.134112182772361,0.101041452534332
"vessel x adj_raw_pink_log + NSEAK_SST_MJJ + odd_factor",3.54914100905052,2.93100671844749,4.16727529965355,0.232969624509714,17,0.40079412728214,0.752133739734283,0.650071161977811,33.5899955495089,45.5899955495089,44.5598779733227,0.000382228452739428,0.40079412728214,0.0824255748459078,0.143602307127402,0.0956886290615186
"vessel x adj_raw_pink_log+  NSEAK_SST_AMJ + odd_factor",3.36844716716556,2.7708747164101,3.96601961792102,0.231137697328164,17,0.383961206383357,0.772516757095031,0.678847186487102,31.4446768128778,43.4446768128778,42.4145592366916,0.000195231065272134,0.383961206383357,0.0806289324538045,0.138330305478269,0.0970209872707064
"vessel x adj_raw_pink_log + NSEAK_SST_AMJJ + odd_factor",3.45765890911306,2.85089026296082,4.0644275552653,0.229196253599814,17,0.393127686485492,0.761525483530997,0.663330094396702,32.6243237457644,44.6243237457644,43.5942061695782,0.000282697695285767,0.393127686485492,0.0817057700133943,0.140605849956746,0.0941360165697242
"vessel x adj_raw_pink_log + SEAK_SST_May + odd_factor",3.45083941825056,2.84882876411277,4.05285007238834,0.227614828044733,17,0.389919059314182,0.76540235730888,0.668803327965478,32.2145595590369,44.2145595590369,43.1844419828507,0.000248637191127782,0.389919059314182,0.0797501937875403,0.136634897326425,0.101931566574159
