"","MAPE5"
"CPUE +odd_even_factor",49.8769787529702
"CPUE + ISTI20_MJJ+odd_even_factor",30.6305728142846
"CPUE + Chatham_SST_May+odd_even_factor",35.654709198242
"CPUE + Chatham_SST_MJJ+odd_even_factor",40.2918822048562
"CPUE + Chatham_SST_AMJ+odd_even_factor",33.287608446389
"CPUE + Chatham_SST_AMJJ+odd_even_factor",36.2978481600627
"CPUE + Icy_Strait_SST_May+odd_even_factor",37.1946321798354
"CPUE + Icy_Strait_SST_MJJ+odd_even_factor",38.5223915287705
"CPUE + Icy_Strait_SST_AMJ+odd_even_factor",33.6191714200402
"CPUE + Icy_Strait_SST_AMJJ+odd_even_factor",35.1113593594624
"CPUE + NSEAK_SST_May+odd_even_factor",34.7418048244879
"CPUE + NSEAK_SST_MJJ+odd_even_factor",38.0208890948406
"CPUE + NSEAK_SST_AMJ+odd_even_factor",33.3217516798829
"CPUE + NSEAK_SST_AMJJ+odd_even_factor",35.4425864508918
"CPUE + SEAK_SST_May+odd_even_factor",36.4233791923032
"CPUE + SEAK_SST_MJJ+odd_even_factor",38.8550629648958
"CPUE + SEAK_SST_AMJ+odd_even_factor",34.7797419254127
"CPUE + SEAK_SST_AMJJ+odd_even_factor",36.6571438442606
