"","MAPE5"
"vessel x adj_raw_pink_log + odd_factor ",131.441582482491
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor ",133.676693838892
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor",107.221519003472
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor",120.076580662764
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor",109.50738317894
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor",113.149613657174
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor",101.786978423327
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor",112.53173353038
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor",106.437593892447
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor",108.610423749223
"vessel x adj_raw_pink_log + NSEAK_SST_May + odd_factor",101.14111756401
"vessel x adj_raw_pink_log + NSEAK_SST_MJJ + odd_factor",113.12150794092
"vessel x adj_raw_pink_log+  NSEAK_SST_AMJ + odd_factor",102.392487906623
"vessel x adj_raw_pink_log + NSEAK_SST_AMJJ + odd_factor",107.025943840118
"vessel x adj_raw_pink_log + SEAK_SST_May + odd_factor",114.783422530971
"vessel x adj_raw_pink_log + SEAK_SST_MJJ + odd_factor",120.514183553614
"vessel x adj_raw_pink_log + SEAK_SST_AMJ + odd_factor",111.342943661086
"vessel x adj_raw_pink_log + SEAK_SST_AMJJ + odd_factor",114.449916518286
