"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1c","(Intercept)",2.51358966,0.175,14.359,0
"m1c","CPUE",0.28813963,0.077,3.748,0.001
"m1c","odd_even_factorodd",0.4568892,0.188,2.426,0.023
"m2c","(Intercept)",6.76924794,1.204,5.623,0
"m2c","CPUE",0.40012365,0.07,5.679,0
"m2c","ISTI20_MJJ",-0.48731832,0.137,-3.561,0.002
"m2c","odd_even_factorodd",0.20373257,0.17,1.198,0.243
"m3c","(Intercept)",5.47702088,0.714,7.675,0
"m3c","CPUE",0.35461398,0.061,5.817,0
"m3c","Chatham_SST_May",-0.41017755,0.097,-4.228,0
"m3c","odd_even_factorodd",0.39117759,0.145,2.695,0.013
"m4c","(Intercept)",5.83145679,1.256,4.644,0
"m4c","CPUE",0.31749294,0.07,4.566,0
"m4c","Chatham_SST_MJJ",-0.34233505,0.129,-2.663,0.014
"m4c","odd_even_factorodd",0.39598963,0.17,2.332,0.029
"m5c","(Intercept)",6.05048409,0.887,6.82,0
"m5c","CPUE",0.35322757,0.062,5.677,0
"m5c","Chatham_SST_AMJ",-0.47643862,0.118,-4.035,0.001
"m5c","odd_even_factorodd",0.35980617,0.149,2.412,0.024
"m6c","(Intercept)",6.13882983,1.124,5.461,0
"m6c","CPUE",0.3333902,0.066,5.017,0
"m6c","Chatham_SST_AMJJ",-0.42377476,0.13,-3.253,0.004
"m6c","odd_even_factorodd",0.37415073,0.161,2.32,0.03
"m7c","(Intercept)",5.17520757,0.665,7.781,0
"m7c","CPUE",0.36064387,0.062,5.786,0
"m7c","Icy_Strait_SST_May",-0.39226821,0.096,-4.089,0
"m7c","odd_even_factorodd",0.41991012,0.147,2.862,0.009
"m8c","(Intercept)",5.62870861,1.148,4.901,0
"m8c","CPUE",0.3228468,0.069,4.654,0
"m8c","Icy_Strait_SST_MJJ",-0.31639617,0.116,-2.738,0.012
"m8c","odd_even_factorodd",0.41132402,0.168,2.449,0.022
"m9c","(Intercept)",5.80710532,0.852,6.818,0
"m9c","CPUE",0.35008888,0.063,5.572,0
"m9c","Icy_Strait_SST_AMJ",-0.45986224,0.117,-3.919,0.001
"m9c","odd_even_factorodd",0.42132916,0.149,2.823,0.01
"m10c","(Intercept)",5.83661586,1.049,5.565,0
"m10c","CPUE",0.33554008,0.067,5.01,0
"m10c","Icy_Strait_SST_AMJJ",-0.39023365,0.122,-3.201,0.004
"m10c","odd_even_factorodd",0.40507554,0.161,2.518,0.019
"m11c","(Intercept)",5.21841877,0.667,7.824,0
"m11c","CPUE",0.32483016,0.06,5.406,0
"m11c","NSEAK_SST_May",-0.3705933,0.089,-4.142,0
"m11c","odd_even_factorodd",0.42834106,0.146,2.938,0.007
"m12c","(Intercept)",5.61560974,1.152,4.876,0
"m12c","CPUE",0.29498757,0.068,4.315,0
"m12c","NSEAK_SST_MJJ",-0.31388138,0.115,-2.718,0.012
"m12c","odd_even_factorodd",0.42913293,0.168,2.559,0.018
"m13c","(Intercept)",5.78666043,0.851,6.799,0
"m13c","CPUE",0.32092286,0.062,5.217,0
"m13c","NSEAK_SST_AMJ",-0.44052985,0.113,-3.898,0.001
"m13c","odd_even_factorodd",0.41245455,0.15,2.754,0.011
"m14c","(Intercept)",5.85187749,1.063,5.503,0
"m14c","CPUE",0.30711392,0.066,4.669,0
"m14c","NSEAK_SST_AMJJ",-0.38691725,0.122,-3.171,0.004
"m14c","odd_even_factorodd",0.4181198,0.161,2.597,0.016
"m15c","(Intercept)",5.21527204,0.722,7.225,0
"m15c","CPUE",0.32082678,0.062,5.171,0
"m15c","SEAK_SST_May",-0.34187333,0.09,-3.815,0.001
"m15c","odd_even_factorodd",0.43302768,0.151,2.873,0.009
"m16c","(Intercept)",5.50870824,1.142,4.824,0
"m16c","CPUE",0.2852633,0.069,4.149,0
"m16c","SEAK_SST_MJJ",-0.2867102,0.108,-2.648,0.014
"m16c","odd_even_factorodd",0.44205208,0.169,2.623,0.015
"m17c","(Intercept)",5.72141254,0.895,6.392,0
"m17c","CPUE",0.31517122,0.063,4.999,0
"m17c","SEAK_SST_AMJ",-0.39995982,0.11,-3.63,0.001
"m17c","odd_even_factorodd",0.42169939,0.154,2.743,0.012
"m18c","(Intercept)",5.73581186,1.072,5.35,0
"m18c","CPUE",0.29669026,0.066,4.468,0
"m18c","SEAK_SST_AMJJ",-0.34989268,0.115,-3.036,0.006
"m18c","odd_even_factorodd",0.43482215,0.163,2.672,0.014
