"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"vessel x adj_raw_pink_log + odd_factor ",3.31376933345041,2.63897988303541,3.98855878386541,0.239088932423541,20,0.44951555543417,0.633186559782809,0.559823871739371,37.3890968980511,42.0557635647177,44.7023518472603,0.000323345555391783,0.44951555543417,0.108408190418903,0.147786936399061,0.163869594464167
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor ",3.05097920865542,2.42006230466194,3.6818961126489,0.244642429153979,19,0.407371003501023,0.713806595487402,0.638492541668297,33.1844579056246,39.7726931997422,41.716588679702,0.00011652325724346,0.407371003501023,0.092704006192764,0.133126516717682,0.153420189449547
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor",3.24836147200122,2.63464796050845,3.86207498349398,0.218486967357492,19,0.40733084534681,0.713863017924401,0.638563812115033,33.1795287214938,39.7677640156115,41.7116594955712,0.000116317195272521,0.40733084534681,0.0929353256335285,0.132764356894736,0.155901481522925
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor",3.38192773343342,2.74168587061324,4.02216959625361,0.228761199951134,19,0.424491903458065,0.689244933850484,0.607467284863769,35.2428881907643,41.8311234848819,43.7750189648417,0.000243405784918466,0.424491903458065,0.097580204996276,0.139185844962349,0.156044104634083
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor",3.17926529283271,2.57635556007118,3.78217502559423,0.218273588248878,19,0.398190260972731,0.726560870526159,0.654603204875148,32.0447382537582,38.6329735478758,40.5768690278356,7.73335066737777e-05,0.398190260972731,0.0914950537417632,0.130648938010688,0.140615218114546
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor",3.28486532513726,2.66746574167106,3.90226490860347,0.218659684311531,19,0.410386551335998,0.709553842265538,0.633120642861732,33.5532177521075,40.1414530462252,42.0853485261849,0.000133010481174781,0.410386551335998,0.0954507655173153,0.135922680221405,0.146136302508462
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor",3.25484888369269,2.63738678980223,3.87231097758315,0.219607260654234,19,0.409933674946196,0.710194524224727,0.633929925336498,33.4980104780087,40.0862457721263,42.0301412520861,0.000130402466696043,0.409933674946196,0.0921254181887274,0.132081025881107,0.15640363161377
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor",3.39121739588591,2.75999917291972,4.02243561885211,0.225795352664547,19,0.418369744426615,0.698143915166793,0.61870810336858,34.51652144759,41.1047567417076,43.0486522216674,0.000187800099970402,0.418369744426615,0.0960425224867429,0.137606020480276,0.152801810045327
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor",3.23705458804966,2.63439339228707,3.83971578381226,0.214855657527141,19,0.399832367823412,0.724300935180657,0.651748549701883,32.2505105099708,38.8387458040885,40.7826412840482,8.32833034350996e-05,0.399832367823412,0.0913906320167606,0.131090192651667,0.142219808373735
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor",3.30664677785853,2.69201207820628,3.92128147751077,0.21740103003581,19,0.408697493412329,0.711939743186294,0.636134412445845,33.347004442414,39.9352397365316,41.8791352164914,0.000123524949006653,0.408697493412329,0.0943665932107558,0.135293731591645,0.144830059246407
