"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","wMAPE"
"CPUE",3.63077966893244,3.11962367523504,4.14193566262985,0.153391240851978,11,0.342088320436428,0.296393859892412,0.232429665337177,12.8308542250964,15.4975208917631,14.525702297481,0.054399041145978,0.342088320436428,0.0648393676954895,0.05712139720409
"CPUE + ISTI20_MJJ",3.38155101784922,2.88168601179391,3.88141602390453,0.192680523267732,10,0.309155774867501,0.47758556492578,0.373102677910936,10.960006338708,15.960006338708,13.2198037685542,0.0389113091918195,0.309155774867501,0.059289467726152,0.0839384349699309
"CPUE + Chatham_SST_May",3.48491203470137,3.00980924913137,3.96001482027137,0.158205011058116,10,0.307980946226794,0.481548494515849,0.377858193419019,10.8610150438677,15.8610150438677,13.1208124737138,0.0374576648592047,0.307980946226794,0.0617687159837751,0.0949705627590943
"CPUE + Chatham_SST_MJJ",3.6099025928959,3.12030905300475,4.09949613278706,0.146556654390166,10,0.325309950181697,0.421564236946564,0.305877084335877,12.2842681104386,17.2842681104386,14.5440655402847,0.064755353957472,0.325309950181697,0.0627539380197475,0.0834579836232047
"CPUE + Chatham_SST_AMJ",3.46449525069635,2.98088442023211,3.94810608116059,0.166411868085878,10,0.310677061002125,0.472431546955451,0.366917856346542,11.0876327458056,16.0876327458056,13.3474301756517,0.0408690074912259,0.310677061002125,0.06050746708299,0.0849711186657409
"CPUE + Chatham_SST_AMJJ",3.53932130518831,3.05016486155792,4.0284777488187,0.155123774040317,10,0.320959223205046,0.436932886708643,0.324319464050372,11.9341953699327,16.9341953699327,14.1939927997788,0.05659796452067,0.320959223205046,0.061794458730961,0.0828804646503796
"CPUE + Icy_Strait_SST_May",3.50576091605289,3.02234309861854,3.98917873348724,0.158465332921413,10,0.31464703265639,0.458862385494066,0.350634862592879,11.4177676338093,16.4177676338093,13.6775650636555,0.0464022045369147,0.31464703265639,0.0616984285201439,0.092054836082541
"CPUE + Icy_Strait_SST_MJJ",3.63332355026846,3.15322675214455,4.11342034839236,0.143158891986251,10,0.319249292721774,0.442916456258396,0.331499747510075,11.7953084380146,16.7953084380146,14.0551058678607,0.053653943538801,0.319249292721774,0.0620916549498646,0.0840843908676911
"CPUE + Icy_Strait_SST_AMJ",3.51472905943566,3.04455721473768,3.98490090413365,0.150887401474154,10,0.307633838527808,0.482716470008098,0.379259764009718,10.8316954064791,15.8316954064791,13.0914928363253,0.0370376356185483,0.307633838527808,0.0593290072698535,0.0838013046866042
"CPUE + Icy_Strait_SST_AMJJ",3.56664144000767,3.09051419712199,4.04276868289335,0.145946971288243,10,0.314798544264297,0.458341113328722,0.350009335994466,11.4302843692543,16.4302843692543,13.6900817991004,0.0466261293051341,0.314798544264297,0.0607345238009715,0.0832121278389685
"CPUE + NSEAK_SST_May",3.50288708150753,3.02698860714386,3.97878555587119,0.155408834459495,10,0.310050102630781,0.474558705685984,0.36947044682318,11.0351107227549,16.0351107227549,13.2949081526011,0.0400517046099211,0.310050102630781,0.0615946497253537,0.0969071730404742
"CPUE + NSEAK_SST_MJJ",3.59739008236098,3.10528620479254,4.08949395992943,0.148250893565618,10,0.326551566294927,0.417140359119121,0.300568430942945,12.3833138653038,17.3833138653038,14.6431112951499,0.0672697667637219,0.326551566294927,0.0624151548836511,0.087508342069153
"CPUE + NSEAK_SST_AMJ",3.47840351089155,2.98880678934166,3.96800023244145,0.166953363928193,10,0.315331009446352,0.456507188604864,0.347808626325837,11.4742248508488,16.4742248508488,13.734022280695,0.0474208157867307,0.315331009446352,0.0598558899268844,0.0894585938785698
"CPUE + NSEAK_SST_AMJJ",3.53964941889941,3.04596738981503,4.03333144798379,0.157129001669218,10,0.323652546550786,0.427443302838957,0.312931963406748,12.1514635545143,17.1514635545143,14.4112609843605,0.0615307905213093,0.323652546550786,0.0615550818267727,0.0868631856535616
"CPUE + SEAK_SST_May",3.49604459252037,3.02639656555474,3.965692619486,0.153703962842733,10,0.305809125590818,0.488834747676394,0.386601697211673,10.6770186751123,15.6770186751123,12.9368161049585,0.0348984886817305,0.305809125590818,0.060465607087445,0.0965295306368828
"CPUE + SEAK_SST_MJJ",3.59524686817521,3.112042378043,4.07845135830742,0.145519621002228,10,0.32066889543028,0.437951085121229,0.325541302145474,11.9106660935813,16.9106660935813,14.1704635234274,0.0560880793338324,0.32066889543028,0.0619842190470839,0.086843354260505
"CPUE + SEAK_SST_AMJ",3.48256029949616,2.99520650588011,3.96991409311222,0.164907795859576,10,0.314561170759548,0.459157679952376,0.350989215942851,11.4106717017485,16.4106717017485,13.6704691315947,0.0462757360826907,0.314561170759548,0.0601493693092449,0.0894102710071249
"CPUE + SEAK_SST_AMJJ",3.53510813442548,3.04743832980927,4.0227779390417,0.155188170034531,10,0.319724231863023,0.441257704987903,0.329509245985483,11.8339592411274,16.8339592411274,14.0937566709735,0.0544575045666412,0.319724231863023,0.0614016748677409,0.086365726417534
