"","MAPE10"
"CPUE*as.factor(odd_even_factor)",53.6153709888609
"CPUE*as.factor(odd_even_factor) + ISTI20_MJJ",28.6870739388066
"CPUE*as.factor(odd_even_factor) + Chatham_SST_May",25.6230503065177
"CPUE*as.factor(odd_even_factor) + Chatham_SST_MJJ",32.455974914367
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJ",24.2475854839785
"CPUE*as.factor(odd_even_factor) + Chatham_SST_AMJJ",27.8671873374118
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_May",26.1447911043201
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_MJJ",31.7773463451077
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJ",27.8606389799425
"CPUE*as.factor(odd_even_factor) + Icy_Strait_SST_AMJJ",29.6049445161267
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_May",24.7929260160911
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_MJJ",27.385886925448
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_AMJ",26.1450269515861
"CPUE*as.factor(odd_even_factor) + NSEAK_SST_AMJJ",25.9034801823716
"CPUE*as.factor(odd_even_factor) + SEAK_SST_May",25.3932000296418
"CPUE*as.factor(odd_even_factor) + SEAK_SST_MJJ",28.5701723103946
"CPUE*as.factor(odd_even_factor) + SEAK_SST_AMJ",25.1517624119987
"CPUE*as.factor(odd_even_factor) + SEAK_SST_AMJJ",26.3995780914753
"CPUE:as.factor(odd_even_factor)",61.4885962342808
"ISTI20_MJJ+ CPUE:as.factor(odd_even_factor)",33.0162639386784
"Chatham_SST_May+ CPUE:as.factor(odd_even_factor)",28.8358764266793
"Chatham_SST_MJJ+ CPUE:as.factor(odd_even_factor)",38.7374822502303
"Chatham_SST_AMJ+ CPUE:as.factor(odd_even_factor)",30.0556501831802
"Chatham_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",32.529946659394
"Icy_Strait_SST_May+ CPUE:as.factor(odd_even_factor)",28.1928440068646
"Icy_Strait_SST_MJJ+ CPUE:as.factor(odd_even_factor)",38.7536644571701
"Icy_Strait_SST_AMJ+ CPUE:as.factor(odd_even_factor)",31.7564955097972
"Icy_Strait_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",34.784092532208
"NSEAK_SST_May+ CPUE:as.factor(odd_even_factor)",27.5632376880808
"NSEAK_SST_MJJ+ CPUE:as.factor(odd_even_factor)",33.8900541044824
"NSEAK_SST_AMJ+ CPUE:as.factor(odd_even_factor)",30.2694462490211
"NSEAK_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",30.6348659317756
"SEAK_SST_May+ CPUE:as.factor(odd_even_factor)",30.8502516779114
"SEAK_SST_MJJ+ CPUE:as.factor(odd_even_factor)",36.5289393266915
"SEAK_SST_AMJ+ CPUE:as.factor(odd_even_factor)",31.703585889211
"SEAK_SST_AMJJ+ CPUE:as.factor(odd_even_factor)",32.3346435988043
