JYear,SEAKCatch,CPUEcal,ISTI,ISTI_MJJ
1997,42.45,2.4775,9.43814375,9.259388125
1998,77.82,5.6225,9.600469375,9.489001146
1999,20.25,1.5975,8.973047135,8.55974875
2000,67.02,3.731,9.063023438,8.755733229
2001,45.32,2.869375,9.400065029,9.027826496
2002,52.47,2.784736842,8.547906029,8.197730295
2003,45.31,3.0775,9.8157175,9.349481875
2004,59.12,3.900833333,9.620598544,9.268800677
2005,11.61,2.0405,10.25767492,10.20316094
2006,44.8,2.5785,8.899766875,8.771492917
2007,15.9,1.167142857,9.313728594,8.950851771
2008,37.95,2.486071429,8.305363229,7.924594722
2009,24.03,2.087142857,9.629476107,9.378418351
2010,58.86,3.674,9.654600078,9.395296111
2011,21.25,1.349642857,8.911101654,8.669406424
2012,94.7,3.148214286,8.725248086,8.725248086
2013,37.2,1.914285714,9.174879935,8.865461372
2014,35.1,3.399565217,9.321749557,9.093034323
2015,18.4,2.192857143,9.888602227,9.645331998
2016,34.3,3.89047619,10.40670214,10.29717619
2017,7.651036,0.309375,8.929032813,8.559985625
2018,21.073094,1.233765062,9.221968281,8.924952083
2019,,1.202606515,10.13475266,9.91121125
