"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",2.89604242449353,2.3571038146831,3.43498103430397,0.130007032165491,20,0.385299270934621,0.649407846014698,0.631878238315433,24.3721350449484,25.7054683782817,27.6452624050234,0.100282035175785,0.0692999092300987
"CPUE+ISTI_MJJ",2.42296815584634,1.96110701287517,2.88482929881752,0.167151965292337,19,0.305066462931063,0.791205835377796,0.769227502259669,14.9700919747443,17.3230331512149,19.3342617881776,0.0810288979698393,0.0549547326294414
"CPUE+ISTI",2.41512585320475,1.96650045345065,2.86375125295885,0.160834351721848,19,0.297155876374184,0.801893799121633,0.781040514818647,13.8140875992154,16.167028775686,18.1782574126487,0.081020718310344,0.0610963181301628
