Vessel,pink_cal_mixspecies,pink_cal_mixpool,pink_cal_species,pink_cal_pool
Cobb,1.00,1.00,1.00,1.00
Chellissa,0.66,0.66,0.70,0.74
NW Explorer,0.66,0.66,0.70,0.74
Steller,1.04,0.95,1.04,0.95
Medeia,0.88,0.84,0.88,0.84
