"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",3.22971338750314,2.66406962109226,3.79535715391402,0.0940752347294642,21,0.417005744752876,0.643514502368633,0.626539002481425,28.9446787076312,30.2078366023681,32.3511613554187,0.11558418249623,0.104699883681612
"CPUE+ISTI",3.30896136638704,2.92654633388535,3.69137639888873,0.0652677260983926,20,0.281062250899111,0.845768340386527,0.830345174425179,11.6744092189989,13.8966314412211,16.2163860827155,0.0735234000004501,0.0597559328329153
"CPUE+ISTI_May",3.13646685932179,2.73721337983569,3.5357203388079,0.0690154830519608,20,0.293233638783664,0.832121116924952,0.815333228617447,13.6245109092476,15.8467331314699,18.1664877729642,0.0824253420082608,0.0616015714426203
"CPUE+SST_May",2.82187077388031,2.46011482892989,3.18362671883074,0.0901566834900532,20,0.257633857376457,0.870409142449398,0.857450056694338,7.67071831699135,9.89294053921358,12.212695180708,0.0649291591558158,0.0483369422726578
"CPUE+SST_MJJ",3.00444320753433,2.57429513469194,3.43459128037671,0.0886918652484313,20,0.312203041660318,0.809698263329548,0.790668089662503,16.507977551801,18.7301997740232,21.0499544155176,0.0905420219063382,0.0866148954425755
