"model","terms","AdjR2","AICc","MAPE","MEAPE","MASE"
"m1","CPUE",0.627,30,0.116,0.105,0.399
"m2","CPUE+ISTI",0.83,14,0.074,0.06,0.249
"m4","CPUE+ISTI_May",0.815,16,0.082,0.062,0.275
"m5","CPUE+SST_May",0.86,10,0.064,0.049,0.219
"m6","CPUE+SST_MJJ",0.793,18,0.089,0.087,0.301
