"","JYear","Year","ISTI20_MJJ","CPUE","Chatham_SST_MJJ","Chatham_SST_May","Chatham_SST_AMJJ","Chatham_SST_AMJ","Icy_Strait_SST_MJJ","Icy_Strait_SST_May","Icy_Strait_SST_AMJJ","Icy_Strait_SST_AMJ","NSEAK_SST_MJJ","NSEAK_SST_May","NSEAK_SST_AMJJ","NSEAK_SST_AMJ","SEAK_SST_MJJ","SEAK_SST_May","SEAK_SST_AMJJ","SEAK_SST_AMJ","index","weight_values","SEAKCatch_log","model1_sim","sigma"
"1",2019,2020,9.91121125,1.14,10.47,8.24,9.46,8.35,10.74,7.79,9.51,8.1,10.87,8.42,9.65,8.44,11.46,9.01,10.25,9.05,"pink_cal_pool",0.001,2.08728433144547,2.87133591365734,0.393213710619542
"2",2020,2021,8.888253542,2.147502256,9.99,8.09,8.84,7.86,10.4,7.83,9.05,7.86,10.23,8.26,8.98,7.94,10.7,8.9,9.52,8.53,"pink_cal_pool",1,3.88214490741713,3.22796915837648,0.416282737323523
"3",2021,2022,8.885509921,0.875454122,10.06,7.25,8.9,7.63,10.26,6.91,8.91,7.47,10.23,7.29,8.96,7.65,10.82,7.97,9.58,8.31,"pink_cal_pool",1,2.90685504785988,2.71172375680833,0.428862337861193
"4",2022,2023,8.984388252,1.448291273,10.17,7.52,8.92,7.64,10.34,7.13,8.88,7.4,10.52,7.62,9.11,7.74,11.04,8.22,9.68,8.38,"pink_cal_pool",1,3.86785188801823,2.97611117238999,0.421176302903642
"5",2023,2024,8.922996859,1.218385407,9.8,7.53,8.61,7.4,9.72,7.13,8.43,7.1,9.98,7.53,8.69,7.41,10.68,8.21,9.35,8.04,"pink_cal_pool",1,2.98918438283103,2.94562202941471,0.448186761229124
