"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",1.00982187,1.039,0.972,0.345
"m1","as.factor(vessel)Medeia",3.1701075,1.71,1.853,0.081
"m1","as.factor(vessel)NW Explorer",-0.42028624,1.075,-0.391,0.701
"m1","adj_raw_pink_log",0.44005125,0.195,2.256,0.038
"m1","as.factor(odd_even_factor)odd",1.46631486,0.829,1.77,0.095
"m1","as.factor(vessel)Medeia:adj_raw_pink_log",-0.7625935,0.358,-2.129,0.048
"m1","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.03129395,0.178,-0.176,0.862
"m1","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18496934,0.141,-1.308,0.208
"m2","(Intercept)",4.45237107,1.685,2.643,0.018
"m2","as.factor(vessel)Medeia",2.72620827,1.517,1.797,0.091
"m2","as.factor(vessel)NW Explorer",-0.69133518,0.953,-0.725,0.479
"m2","adj_raw_pink_log",0.49609424,0.173,2.862,0.011
"m2","as.factor(odd_even_factor)odd",1.31017407,0.733,1.789,0.093
"m2","ISTI20_MJJ",-0.40759063,0.168,-2.433,0.027
"m2","as.factor(vessel)Medeia:adj_raw_pink_log",-0.63784358,0.32,-1.996,0.063
"m2","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.00100301,0.157,-0.006,0.995
"m2","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18310756,0.125,-1.471,0.161
"m3","(Intercept)",2.92391748,1.292,2.263,0.038
"m3","as.factor(vessel)Medeia",2.9860332,1.553,1.923,0.073
"m3","as.factor(vessel)NW Explorer",-0.21745483,0.979,-0.222,0.827
"m3","adj_raw_pink_log",0.46716886,0.177,2.635,0.018
"m3","as.factor(odd_even_factor)odd",1.35806844,0.753,1.804,0.09
"m3","Chatham_SST_May",-0.28127491,0.13,-2.163,0.046
"m3","as.factor(vessel)Medeia:adj_raw_pink_log",-0.68636888,0.327,-2.101,0.052
"m3","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.04861752,0.161,-0.301,0.767
"m3","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.16761989,0.128,-1.305,0.21
"m4","(Intercept)",3.73872311,1.72,2.174,0.045
"m4","as.factor(vessel)Medeia",3.09997712,1.59,1.949,0.069
"m4","as.factor(vessel)NW Explorer",-0.21220061,1.005,-0.211,0.835
"m4","adj_raw_pink_log",0.49721379,0.184,2.706,0.016
"m4","as.factor(odd_even_factor)odd",1.54345769,0.771,2.001,0.063
"m4","Chatham_SST_MJJ",-0.31174556,0.163,-1.917,0.073
"m4","as.factor(vessel)Medeia:adj_raw_pink_log",-0.70818207,0.334,-2.119,0.05
"m4","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.06021054,0.166,-0.363,0.722
"m4","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.20460359,0.132,-1.552,0.14
"m5","(Intercept)",3.51047729,1.424,2.465,0.025
"m5","as.factor(vessel)Medeia",2.79922886,1.535,1.824,0.087
"m5","as.factor(vessel)NW Explorer",-0.15853592,0.966,-0.164,0.872
"m5","adj_raw_pink_log",0.48876881,0.175,2.788,0.013
"m5","as.factor(odd_even_factor)odd",1.40832396,0.74,1.904,0.075
"m5","Chatham_SST_AMJ",-0.36611629,0.158,-2.313,0.034
"m5","as.factor(vessel)Medeia:adj_raw_pink_log",-0.64188856,0.324,-1.982,0.065
"m5","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.05915313,0.159,-0.372,0.715
"m5","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18170403,0.126,-1.44,0.169
"m6","(Intercept)",3.77140803,1.616,2.333,0.033
"m6","as.factor(vessel)Medeia",2.96170504,1.563,1.895,0.076
"m6","as.factor(vessel)NW Explorer",-0.13976964,0.989,-0.141,0.889
"m6","adj_raw_pink_log",0.50103612,0.18,2.78,0.013
"m6","as.factor(odd_even_factor)odd",1.44570678,0.756,1.913,0.074
"m6","Chatham_SST_AMJJ",-0.35691972,0.169,-2.108,0.051
"m6","as.factor(vessel)Medeia:adj_raw_pink_log",-0.67342828,0.329,-2.044,0.058
"m6","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.07148673,0.163,-0.438,0.667
"m6","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18942518,0.129,-1.469,0.161
"m7","(Intercept)",2.75488929,1.275,2.16,0.046
"m7","as.factor(vessel)Medeia",2.93104552,1.572,1.864,0.081
"m7","as.factor(vessel)NW Explorer",-0.30789341,0.987,-0.312,0.759
"m7","adj_raw_pink_log",0.45414639,0.179,2.538,0.022
"m7","as.factor(odd_even_factor)odd",1.34489544,0.762,1.765,0.097
"m7","Icy_Strait_SST_May",-0.26388645,0.128,-2.057,0.056
