"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1b","(Intercept)",3.34959847,0.268,12.476,0
"m1b","CPUE",0.16936903,0.079,2.153,0.054
"m2b","(Intercept)",6.07172447,1.482,4.098,0.002
"m2b","CPUE",0.24687896,0.082,2.996,0.013
"m2b","ISTI20_MJJ",-0.33190945,0.178,-1.862,0.092
"m3b","(Intercept)",5.25772517,1.038,5.064,0
"m3b","CPUE",0.2314285,0.078,2.964,0.014
"m3b","Chatham_SST_May",-0.27779768,0.147,-1.89,0.088
"m4b","(Intercept)",5.50920501,1.49,3.697,0.004
"m4b","CPUE",0.19437654,0.077,2.533,0.03
"m4b","Chatham_SST_MJJ",-0.22880115,0.156,-1.471,0.172
"m5b","(Intercept)",5.48503236,1.194,4.593,0.001
"m5b","CPUE",0.22668121,0.078,2.905,0.016
"m5b","Chatham_SST_AMJ",-0.30282152,0.166,-1.827,0.098
"m6b","(Intercept)",5.49651586,1.382,3.977,0.003
"m6b","CPUE",0.20838465,0.078,2.677,0.023
"m6b","Chatham_SST_AMJJ",-0.26107969,0.165,-1.58,0.145
"m7b","(Intercept)",5.02458665,0.998,5.036,0.001
"m7b","CPUE",0.2297952,0.08,2.861,0.017
"m7b","Icy_Strait_SST_May",-0.25654309,0.148,-1.733,0.114
"m8b","(Intercept)",5.46421371,1.328,4.115,0.002
"m8b","CPUE",0.19498747,0.075,2.596,0.027
"m8b","Icy_Strait_SST_MJJ",-0.2185079,0.135,-1.622,0.136
"m9b","(Intercept)",5.35985998,1.086,4.934,0.001
"m9b","CPUE",0.22036573,0.076,2.912,0.016
"m9b","Icy_Strait_SST_AMJ",-0.28917478,0.152,-1.898,0.087
"m10b","(Intercept)",5.45399495,1.242,4.392,0.001
"m10b","CPUE",0.20672829,0.076,2.736,0.021
"m10b","Icy_Strait_SST_AMJJ",-0.25353932,0.147,-1.729,0.114
"m11b","(Intercept)",5.07820107,0.97,5.237,0
"m11b","CPUE",0.2091133,0.075,2.807,0.019
"m11b","NSEAK_SST_May",-0.24616033,0.134,-1.841,0.095
"m12b","(Intercept)",5.31640044,1.39,3.824,0.003
"m12b","CPUE",0.17984147,0.075,2.383,0.038
"m12b","NSEAK_SST_MJJ",-0.20278107,0.141,-1.439,0.181
"m13b","(Intercept)",5.31277459,1.17,4.54,0.001
"m13b","CPUE",0.20598912,0.076,2.725,0.021
"m13b","NSEAK_SST_AMJ",-0.27490399,0.16,-1.716,0.117
"m14b","(Intercept)",5.31531778,1.324,4.015,0.002
"m14b","CPUE",0.19189241,0.076,2.528,0.03
"m14b","NSEAK_SST_AMJJ",-0.23463343,0.155,-1.513,0.161
"m15b","(Intercept)",5.19814062,0.982,5.291,0
"m15b","CPUE",0.20703822,0.073,2.837,0.018
"m15b","SEAK_SST_May",-0.24192524,0.125,-1.94,0.081
"m16b","(Intercept)",5.52222729,1.392,3.967,0.003
"m16b","CPUE",0.17530406,0.074,2.374,0.039
"m16b","SEAK_SST_MJJ",-0.21148615,0.133,-1.587,0.144
"m17b","(Intercept)",5.37098253,1.191,4.509,0.001
"m17b","CPUE",0.20269231,0.075,2.708,0.022
"m17b","SEAK_SST_AMJ",-0.26113438,0.151,-1.735,0.113
"m18b","(Intercept)",5.44852563,1.327,4.104,0.002
"m18b","CPUE",0.18768448,0.074,2.522,0.03
"m18b","SEAK_SST_AMJJ",-0.23388602,0.145,-1.61,0.138
