"terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","MAPE","MAPE5"
"CPUE + Chatham_SST_AMJ+odd_even_factor","m5c",26.452,16.812,41.62,0.769,0.075828383812837,33.522
"CPUE + Chatham_SST_AMJJ+odd_even_factor","m6c",29.556,18.173,48.069,0.729,0.0823737683465631,36.519
"CPUE + Chatham_SST_May+odd_even_factor","m3c",27.662,17.774,43.049,0.777,0.0739334499820143,35.858
"CPUE + Chatham_SST_MJJ+odd_even_factor","m4c",32.948,19.759,54.941,0.698,0.0880459992230746,40.505
"CPUE + Icy_Strait_SST_AMJ+odd_even_factor","m9c",28.347,17.973,44.707,0.763,0.0745712284460501,33.858
"CPUE + Icy_Strait_SST_AMJJ+odd_even_factor","m10c",30.702,18.858,49.986,0.727,0.0833019452590858,35.347
"CPUE + Icy_Strait_SST_May+odd_even_factor","m7c",28.151,17.982,44.07,0.771,0.0727860809777246,37.397
"CPUE + Icy_Strait_SST_MJJ+odd_even_factor","m8c",33.793,20.34,56.145,0.702,0.0876477869267894,38.756
"CPUE + ISTI20_MJJ+odd_even_factor","m2c",23.114,14.183,37.667,0.745,0.0743407130780869,30.854
"CPUE + NSEAK_SST_AMJ+odd_even_factor","m13c",26.991,17.057,42.713,0.762,0.0769918956848375,33.547
"CPUE + NSEAK_SST_AMJJ+odd_even_factor","m14c",29.536,18.086,48.234,0.725,0.0827370028514071,35.656
"CPUE + NSEAK_SST_May+odd_even_factor","m11c",28.237,18.085,44.089,0.773,0.0750419591912976,34.946
"CPUE + NSEAK_SST_MJJ+odd_even_factor","m12c",32.326,19.429,53.783,0.701,0.0869959908356656,38.229
"CPUE + SEAK_SST_AMJ+odd_even_factor","m17c",27.458,17.139,43.992,0.749,0.0799504159676428,34.999
"CPUE + SEAK_SST_AMJJ+odd_even_factor","m18c",29.826,18.151,49.012,0.718,0.0843412573970635,36.862
"CPUE + SEAK_SST_May+odd_even_factor","m15c",28.281,17.833,44.85,0.758,0.0785578348870059,36.622
"CPUE + SEAK_SST_MJJ+odd_even_factor","m16c",32.545,19.498,54.322,0.697,0.0873437943230251,39.052
"CPUE +odd_even_factor","m1c",25.117,13.868,45.492,0.548,0.106940315257991,50.111
